"Name","Bank Type","Bank Status","X","Y","Is Conservation Bank","State List"
"Agua Fria Conservation Bank","Private Commercial","Sold-Out","-121.00366953364","37.0193337091257","Yes","CA"
"Alkali Sink Conservation Bank","Private Commercial","Approved","-120.304981","36.742014","Yes","CA"
"Allensworth Conservation Bank","Private Commercial","Sold-Out","-120.628410571692","37.9416521925212","Yes","CA"
"Alton North Conservation Bank","Private Commercial","Approved","-122.7779","38.46717","Yes","CA"
"Alton South Conservation Bank","Private Commercial","Pending","-122.777284","38.467686","Yes","CA"
"American Burying Beetle Conservation Bank","Private Commercial","Approved","-96.0606","35.0387","Yes","OK"
"Anaheim Bay - Port of Long Beach","Single-Client","Sold-Out","-118.069727389273","33.7433926839367","Yes","CA"
"Antonini (Angelus Block) Delhi Sands Flower-loving Fly","Private Commercial","Approved","-117.366575","34.048897","Yes","CA"
"Antonio Mountain Ranch Conservation and Mitigation Bank","Private Commercial","Pending","-121.338041","38.847933","Yes","CA"
"Arroyo Seco Conservation Bank","Private Commercial","Sold-Out","-121.28867171308","38.502715007826","Yes","CA"
"Backbone Conservation Bank","Private Commercial","Approved","-81.506261217451","27.8582140554225","Yes","FL"
"Bandera Corridor Conservation Bank","Private Commercial","Approved","-99.496","29.774","Yes","TX"
"Big Gun Conservation Bank","Private Commercial","Approved","-120.628410571692","37.9416521925212","Yes","CA"
"Blackburn Vernal Pool Conservation Bank","Private Commercial","Approved","-120.628410571692","37.9416521925212","Yes","CA"
"Blue Heron Slough Conservation Bank","Private Commercial","Approved","-122.166811851128","48.0270926662617","Yes","WA"
"Bryte Ranch Conservation Bank","Private Commercial","Approved","-121.272075","38.459571","Yes","CA"
"Buena Creek Gnatcatcher Conservation","Private Commercial","Approved","-117.190534186446","33.1789846039716","Yes","CA"
"Bullock Bend Mitigation Bank","Private Commercial","Approved","-121.811126300867","38.913116072931","Yes","CA"
"Burke Ranch Conservation Bank","Private Commercial","Approved","-121.842499","38.299637","Yes","CA"
"CO - Cherry Creek (Pending) Conservation and 404 Mitigation","Private Commercial","Pending","-104.729926","39.316282","Yes","CO"
"Campbell Ranch Conservation Bank","Private Commercial","Approved","-121.720505","38.41325","Yes","CA"
"Carinalli Todd Road Mitigation Bank","Private Commercial","Approved","-122.778117","38.383464","Yes","CA"
"Carlsbad Highlands","Private Commercial","Sold-Out","-117.276","33.165","Yes","CA"
"Carolina Heelsplitter Conservation Bank","Combination Public/Private","Approved","-80.4967721925013","34.6385369305998","Yes","SC"
"Chickasawhay Conservation","Private Commercial","Approved","-89.6554145196045","32.6979882979862","Yes","MS"
"Chiquita Canyon","Single-Client","Approved","-117.616667","33.583333","Yes","CA"
"Church Creek Conservation Bank","Private Commercial","Sold-Out","-76.128082","38.563168","Yes","MD"
"Clay Station Mitigation Bank","Private Commercial","Approved","-121.174335698636","38.3609671940322","Yes","CA"
"Clearwater Ranch Conservation Bank","Private Commercial","Approved","-98.39147","30.973792","Yes","TX"
"Coles Levee","Single-Client","Sold-Out","-119.303949968418","35.2675578908177","Yes","CA"
"Collany Conservation Bank","Private Commercial","Approved","-81.4402439960545","27.8779825832334","Yes","FL"
"Colton Dunes Conservation Bank","Private Commercial","Approved","-116.545321","33.830367","Yes","CA"
"Colusa Basin Mitigation Bank","Private Commercial","Approved","-122.019901431565","39.1065257205178","Yes","CA"
"Cornerstones (Phase I) - Marron Valley","Single-Client","Approved","-116.759","32.573","Yes","CA"
"Cornerstones (Phase II) - Lake Hodges","Single-Client","Pending","-117.108","33.069","Yes","CA"
"Cornerstones (Phase III) - Otay Lakes","Single-Client","Pending","-116.928","32.628","Yes","CA"
"Cornerstones (Phase IV) - San Vicente Reservoir","Single-Client","Pending","-116.919","32.925","Yes","CA"
"Cosumnes Floodplain Mitigation Bank","Private Commercial","Approved","-121.41799693002","38.2482047310454","Yes","CA"
"Crestridge","Combination Public/Private","Approved","-116.868","32.826","Yes","CA"
"Daley Ranch","Combination Public/Private","Approved","-117.057","33.184","Yes","CA"
"Daley Ranch Vernal Pool Conservation Bank","Private Commercial","Approved","-121.535411","39.399127","Yes","CA"
"Deadman Creek Conservation Bank","Private Commercial","Approved","-120.521284","37.191725","Yes","CA"
"Deer Canyon","Public Commercial","Sold-Out","-117.163","32.954","Yes","CA"
"Desmond Mitigation Bank","Private Commercial","Approved","-122.76902","38.35885","Yes","CA"
"Dolan Ranch Conservation Bank","Private Commercial","Approved","-121.981966147474","39.1753943908593","Yes","CA"
"Dove Ridge Conservation Bank","Private Commercial","Approved","-121.666667","39.583333","Yes","CA"
"Drayer Ranch Conservation Bank","Private Commercial","Approved","-120.142929","37.187458","Yes","CA"
"Dutchman Creek Conservation Bank","Private Commercial","Approved","-120.39808","37.17634","Yes","CA"
"East Austin Creek Conservation Bank","Private Commercial","Approved","-123.079295","38.597591","Yes","CA"
"East Plum Creek","Single-Client","Approved","-104.862675867914","39.3759087636664","Yes","CO"
"Elsie Gridley Mitigation Bank","Private Commercial","Approved","-121.80735200543","38.2943745513059","Yes","CA"
"Festina Lente Conservation Bank","Private Commercial","Approved","-99.555925","29.7985","Yes","TX"
"Fitzgerald Ranch Conservation Bank","Private Commercial","Approved","-121.311","38.939","Yes","CA"
"Florida Panther Conservation Bank","Private Commercial","Approved","-81.130761182704","26.3411514512178","Yes","FL"
"Florida Panther Conservation Bank II","Private Commercial","Approved","-81.3914546913885","26.6819920623568","Yes","FL"
"Fremont Landing Conservation Bank (FLCB)","Private Commercial","Approved","-121.627096","38.782356","Yes","CA"
"French Camp Conservation Bank","Private Commercial","Approved","-120.628410571692","37.9416521925212","Yes","CA"
"Gill Ranch Conservation Bank","Private Commercial","Approved","-121.123638","38.398989","Yes","CA"
"Gilsizer Slough South Giant Garter Snake Conservation Bank","Private Commercial","Approved","-121.703811","38.990437","Yes","CA"
"Goldfields Conservation Bank","Private Commercial","Approved","-121.981816","38.270061","Yes","CA"
"Grasslands Mitigation Bank","Private Commercial","Approved","-120.901728","37.135603","Yes","CA"
"Great Valley Conservation Bank at Flynn Ranch","Private Commercial","Approved","-120.161963","37.176184","Yes","CA"
"Griffith League Ranch Conservation Bank","Private Nonprofit","Approved","-97.231578","30.217871","Yes","TX"
"Habitat Bank LLC Coweeman River Wetland and Conservation Bank","Private Commercial","Approved","-122.87256","46.13486","Yes","WA"
"Haera Wildlife Conservation Bank","Private Commercial","Sold-Out","-121.577337161912","37.7185753236833","Yes","CA"
"Hale Mitigation Bank","Private Commercial","Approved","-122.76686","38.387722","Yes","CA"
"Hatchineha Ranch Conservation Bank Phase 1","Private Commercial","Sold-Out","-81.4883586072059","28.0007601118775","Yes","FL"
"Hatchineha Ranch Conservation Bank Phase 2","Private Commercial","Sold-Out","-81.477997","27.989555","Yes","FL"
"Hazel Mitigation Bank","Private Commercial","Approved","-122.755457","38.369854","Yes","CA"
"Heights of Pala Mesa","Private Commercial","Approved","-117.148","33.368","Yes","CA"
"Hickory Pass Conservation Bank","Private Commercial","Approved","-98.095528","30.584864","Yes","TX"
"Hickory Ridge Conservation Bank","Private Commercial","Approved","-98.115206","30.604083","Yes","TX"
"Horn Avenue Mitigation Bank","Private Commercial","Approved","-122.702178","38.376386","Yes","CA"
"Huntington Beach MB","Single-Client","Sold-Out","-117.961322","33.634211","Yes","CA"
"Iron County Little Horse Valley","Public Commercial","Approved","-111.670291943333","39.3064137756035","Yes","UT"
"Kennedy Table Conservation Bank","Private Commercial","Approved","-119.690521","37.069923","Yes","CA"
"Kern Water Bank (Conservation Bank)","Combination Public/Private","Approved","-119.23359336922","35.2776146580161","Yes","CA"
"Kimball Island Mitigation Bank","Private Commercial","Sold-Out","-121.81639961687","38.0268567480851","Yes","CA"
"Kreyenhagen Hills Conservation Bank","Private Commercial","Approved","-120.390144027463","36.0577388455679","Yes","CA"
"La Purisima Conservation Bank","Private Commercial","Approved","-120.321936","34.785707","Yes","CA"
"Laguna Creek Mitigation Bank","Private Commercial","Approved","-121.059336863986","38.4186165277909","Yes","CA"
"Laguna Terrace East Conservation Bank","Private Commercial","Approved","-121.141791","38.465014","Yes","CA"
"Lake Wales Ridge Conservation Bank","Private Commercial","Approved","-81.4674706048299","27.7557287207758","Yes","FL"
"Lazy K Ranch Mitigation Bank","Private Commercial","Withdrawn","-120.15645","37.16206","Yes","CA"
"Lesser Prairie-Chicken Programmatic Conservation Bank Agreement","Private Commercial","Approved","-98.3786671898361","38.493930054119","Yes","KS"
"Liberty Island Conservation Bank","Private Commercial","Approved","-121.671944399651","38.3313552362013","Yes","CA"
"Locust Road Mitigation Bank","Private Commercial","Approved","-121.464857049059","38.7679818945719","Yes","CA"
"Lytle Creek","Public Commercial","Approved","-117.362080785356","34.1449971294397","Yes","CA"
"Manchester Avenue","Private Commercial","Approved","-117.248","33.032","Yes","CA"
"Margaret West Conservation Bank","Private Commercial","Approved","-122.772757","38.399645","Yes","CA"
"Mariner Conservation Bank","Private Commercial","Sold-Out","-121.385","38.910556","Yes","CA"
"Markham Ravine Mitigation Bank","Private Commercial","Pending","-121.46051","38.88592","Yes","CA"
"Martin Conservation Bank","Private Commercial","Approved","-122.780052","38.439422","Yes","CA"
"Meridian Ranch Mitigation Bank","Private Commercial","Approved","-121.929459532592","39.8624881723272","Yes","CA"
"Miller Valley Ranch Mitigation Bank","Private Commercial","Pending","-116.400002","32.692045","Yes","CA"
"Morgan Lake Wales Preserve","Private Commercial","Approved","-81.4586850099526","27.7255420355211","Yes","FL"
"Mountain House Conservation Bank","Private Commercial","Approved","-120.628410571692","37.9416521925212","Yes","CA"
"Muddy Boggy Conservation Bank","Private Commercial","Approved","-96.41076","34.77602","Yes","OK"
"Muzzy Ranch Conservation Bank","Private Commercial","Approved","-121.879261","38.273228","Yes","CA"
"Nicolaus Ranch VELB Conservation Bank","Private Commercial","Approved","-121.390147","38.278972","Yes","CA"
"Noonan Ranch Conservation Bank","Private Commercial","Approved","-121.956099","38.290324","Yes","CA"
"North Bay Highlands Conservation Bank","Private Commercial","Approved","-122.631864","38.153258","Yes","CA"
"North Delta Fish Conservation Bank","Combination Public/Private","Pending","-121.678662","38.320814","Yes","CA"
"North Suisun Mitigation Bank","Private Commercial","Approved","-121.924328121264","38.2357370395096","Yes","CA"
"ODOT Vernal Pool","Single-Client","Approved","-122.912462179642","42.4147954050131","Yes","OR"
"Ohlone Preserve Conservation Bank","Private Commercial","Approved","-121.744138922873","37.5569121622125","Yes","CA"
"Ohlone West Conservation Bank","Private Commercial","Approved","-121.743797","37.556933","Yes","CA"
"Orchard Creek Conservation Bank","Private Commercial","Sold-Out","-121.317315685964","38.8485438775362","Yes","CA"
"Oursan Ridge Conservation Bank","Public Commercial","Approved","-122.222021","37.962563","Yes","CA"
"Palo Alto Ranch Conservation Bank","Public Commercial","Approved","-111.41603915510603","31.866754","Yes","AZ"
"Palo Prieto Conservation Bank","Private Commercial","Approved","-120.153283","35.599527","Yes","CA"
"Panther Mitigation Properties Conservation Bank","Private Commercial","Pending","-81.2481197207416","26.2644987845031","Yes","FL"
"Panther Passage Conservation Bank","Private Commercial","Approved","-81.3661505390643","26.7228875590692","Yes","FL"
"Pima County's Pima Pineapple Cactus Mitigation Bank","Public Commercial","Approved","-110.879585","31.953758","Yes","AZ"
"Pleasanton Ridge Conservation Bank","Private Commercial","Suspended","-121.965440377333","37.670992044098","Yes","CA"
"Pope Ranch Conservation Bank","Private Commercial","Sold-Out","-121.655891","38.416142","Yes","CA"
"Porter Ranch Mitigation Bank","Private Commercial","Approved","-121.597656241164","39.3899588379948","Yes","CA"
"Ramona Grasslands","Public Commercial","Approved","-116.937891","33.032288","Yes","CA"
"Rancho San Diego - CALTRANS","Single-Client","Approved","-116.948","32.723","Yes","CA"
"Rancho San Diego - SAN DIEGO COUNTY","Single-Client","Approved","-116.948","32.723","Yes","CA"
"Rancho San Diego - SANDAG","Single-Client","Approved","-116.948","32.723","Yes","CA"
"Red Mountain","Private Commercial","Approved","-117.188593228942","33.4083179850483","Yes","CA"
"Ridge Cut Giant Garter Snake Conservation Bank","Private Commercial","Approved","-121.903024","38.848732","Yes","CA"
"Ridge Top Ranch Wildlife Conservation Bank","Private Commercial","Approved","-122.134668","38.116606","Yes","CA"
"River Ranch VELB Conservation Bank","Private Commercial","Approved","-120.628410571692","37.9416521925212","Yes","CA"
"Riverpark Mitigation Bank","Private Commercial","Pending","-117.155","33.819","Yes","CA"
"Rogue Valley","Private Commercial","Approved","-122.802637175525","42.4992590628843","Yes","OR"
"SITLA 2005 Conservation Bank","Public Commercial","Approved","-111.808246","38.232483","Yes","UT"
"SMUD Nature Preserve Mitigation Bank","Single-Client","Approved","-121.096","38.34","Yes","CA"
"Saipan Upland Mitigation Bank","Public Commercial","Approved","145.803009","15.254531","Yes","CNMI"
"San Miguel Conservation Bank","Combination Public/Private","Approved","-116.962","32.691","Yes","CA"
"San Vicente","Combination Public/Private","Approved","-116.953","32.956","Yes","CA"
"Sand Creek Conservation Bank","Private Commercial","Approved","-119.263414","36.62829","Yes","CA"
"Scrub Conservation Bank","Private Commercial","Approved","-81.3454503899162","27.1294542735802","Yes","FL"
"Sebring Scrub Conservation Bank","Private Commercial","Approved","-81.3671931493079","27.3881314093393","Yes","FL"
"Shauna Downs Mitigation Bank","Private Commercial","Suspended","-121.70151","39.63648","Yes","CA"
"Shin Kee","Private Commercial","Pending","-121.41498","38.101842","Yes","CA"
"Singing Hills","Single-Client","Approved","-116.879","32.786","Yes","CA"
"Skagit Environmental Bank","Private Commercial","Approved","-122.270929633541","48.4444152721497","Yes","WA"
"Slippery Rock Conservation Bank","Private Commercial","Sold-Out","-122.780335","38.434766","Yes","CA"
"South West Santa Rosa Vernal Pool Preservation Bank","Private Commercial","Sold-Out","-122.757398424991","38.3890619874749","Yes","CA"
"Sparling Ranch Conservation Bank","Private Commercial","Approved","-121.287681","36.960798","Yes","CA"
"Stillwater Plains Mitigation Bank - Phase I","Private Commercial","Approved","-122.272165927883","40.5124225836662","Yes","CA"
"Stillwater Plains Mitigation Bank - Phase II & III","Private Commercial","Approved","-122.272165927883","40.5124225836662","Yes","CA"
"Sunrise Douglas Mitigation Bank","Private Commercial","Approved","-120.890884","38.744728","Yes","CA"
"Sutter Basin Conservation Bank","Private Commercial","Approved","-121.637878","38.9522","Yes","CA"
"Sweetwater River Conservancy Greater Sage-Grouse Habitat Bank","Private Commercial","Approved","-106.956005114346","42.3704016692117","Yes","WY"
"Swift/Turner Conservation Bank - Swift Parcel","Private Commercial","Approved","-122.75308","38.393961","Yes","CA"
"Swift/Turner Conservation Bank-Turner Parcel","Private Commercial","Sold-Out","-122.756213","38.400352","Yes","CA"
"Sycamore Creek Conservation Bank","Private Commercial","Approved","-121.862504","39.78374","Yes","CA"
"Tiger Creek Conservation Bank","Private Commercial","Approved","-81.5106740476702","27.8712937323755","Yes","FL"
"Tippen Bay Conservation Bank","Private Commercial","Approved","-81.6290858967339","27.056643532563","Yes","FL"
"Toad Hill Ranch Mitigation Bank","Private Commercial","Approved","-121.420311079493","38.8309753962497","Yes","CA"
"Tomahawk Conservation Bank Agreement","Private Commercial","Approved","-99.901813","31.968599","Yes","TX"
"Upper Los Cerritos Wetland Mitigation Bank","Private Commercial","Pending","-118.108956","33.762133","Yes","CA"
"Utah Prairie Dog Habitat Credit Exchange","Private Nonprofit","Approved","-111.670291943333","39.3064137756035","Yes","UT"
"Val Verde Conservation Bank","Private Commercial","Approved","-100.938815808679","30.0604645879543","Yes","TX"
"Van Vleck Ranch Mitigation Bank","Private Commercial","Approved","-121.05726392588","38.4598513194976","Yes","CA"
"Vieira-Sandy Mush Road Conservation Bank","Private Commercial","Approved","-120.663155","37.107624","Yes","CA"
"Western Placer Schools Conservation Bank","Combination Public/Private","Approved","-121.401686","38.872258","Yes","CA"
"Whelan Ranch","Private Commercial","Sold-Out","-117.358","33.252","Yes","CA"
"Wikiup Mitigation Bank","Private Commercial","Sold-Out","-122.777280982374","38.5176149904151","Yes","CA"
"Wild Flower Mitigation Bank","Private Commercial","Pending","-121.371917","38.968804","Yes","CA"
"Wildlands Mitigation Bank","Private Commercial","Sold-Out","-121.405339600452","38.984155893574","Yes","CA"
"Wright Preservation Bank","Public Commercial","Sold-Out","-122.776962","38.431085","Yes","CA"
"Yosemite Lake Mitigation Bank","Private Commercial","Withdrawn","-120.437993506004","37.3844461870476","Yes","CA"
"Zayante Sand Hills Conservation Bank","Private Commercial","Approved","-120.339546387274","35.431070399051","Yes","CA"
