STATE,COUNTY,FIPS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
ALABAMA,AUTAUGA,1001,570     ,1.445     ,2.984     ,4.774     ,4.781     ,4.930     ,5.079     ,5.194     ,5.194     ,5.189     ,5.169     ,5.224     ,4.182     ,2.812     ,4.002     ,4.174     ,4.359     ,3.984     ,4.071     ,4.253     ,4.353     ,4.352     ,4.548     ,4.444     ,4.610     ,4.170     ,3.921     ,3.541     ,3.452     ,2.877     ,2.329,
ALABAMA,BALDWIN,1003,800     ,8.830     ,11.289     ,12.423     ,12.999     ,14.306     ,14.424     ,14.691     ,14.691     ,14.647     ,14.432     ,13.428     ,10.585     ,10.277     ,10.468     ,10.568     ,10.582     ,10.498     ,10.308     ,10.166     ,9.800     ,9.638     ,7.146     ,6.589     ,6.000     ,5.408     ,4.723     ,4.445     ,4.308     ,3.998     ,3.588,
ALABAMA,BARBOUR,1005,911     ,4.105     ,7.208     ,10.036     ,10.460     ,11.239     ,11.646     ,11.994     ,11.994     ,11.980     ,12.385     ,12.253     ,12.142     ,13.469     ,16.362     ,18.140     ,18.074     ,17.658     ,18.793     ,18.648     ,19.126     ,19.631     ,18.951     ,18.542     ,18.150     ,17.706     ,17.166     ,16.432     ,15.758     ,14.720     ,13.560,
ALABAMA,BIBB,1007,0     ,169     ,1.304     ,1.350     ,1.350     ,1.350     ,1.370     ,1.370     ,1.370     ,1.370     ,1.370     ,1.370     ,743     ,743     ,846     ,964     ,953     ,953     ,932     ,932     ,1.155     ,1.155     ,1.073     ,1.100     ,844     ,812     ,812     ,679     ,679     ,575     ,452,
ALABAMA,BLOUNT,1009,590     ,1.386     ,1.868     ,2.013     ,2.077     ,2.221     ,2.221     ,2.282     ,2.282     ,2.279     ,2.077     ,1.777     ,1.515     ,1.485     ,1.502     ,1.479     ,1.479     ,1.479     ,1.483     ,1.446     ,1.467     ,1.635     ,1.204     ,1.199     ,1.170     ,1.311     ,1.317     ,1.050     ,1.050     ,992     ,954,
ALABAMA,BULLOCK,1011,1.231     ,11.506     ,15.841     ,19.192     ,19.381     ,19.381     ,19.381     ,19.381     ,19.381     ,19.181     ,18.990     ,18.919     ,11.399     ,9.135     ,10.382     ,10.913     ,10.838     ,10.838     ,10.710     ,10.710     ,10.554     ,10.321     ,12.635     ,11.350     ,11.048     ,12.195     ,10.119     ,9.922     ,9.853     ,9.455     ,8.751,
ALABAMA,BUTLER,1013,61     ,1.227     ,2.828     ,3.322     ,3.341     ,3.524     ,3.569     ,3.633     ,3.633     ,3.618     ,3.643     ,3.641     ,2.618     ,2.661     ,2.895     ,3.548     ,3.709     ,3.705     ,3.823     ,3.795     ,3.596     ,3.414     ,3.350     ,3.154     ,3.188     ,3.013     ,2.718     ,2.653     ,2.431     ,2.510     ,2.357,
ALABAMA,CALHOUN,1015,0     ,47     ,425     ,806     ,806     ,838     ,904     ,949     ,949     ,949     ,922     ,886     ,756     ,512     ,512     ,459     ,393     ,414     ,348     ,348     ,348     ,348     ,342     ,331     ,331     ,305     ,146     ,48     ,48     ,48     ,37,
ALABAMA,CHAMBERS,1017,642     ,2.602     ,3.034     ,3.534     ,3.534     ,3.534     ,3.534     ,3.534     ,3.534     ,3.534     ,3.534     ,3.636     ,3.367     ,3.346     ,3.407     ,3.478     ,3.464     ,3.444     ,3.454     ,3.454     ,3.454     ,3.454     ,3.012     ,2.959     ,2.786     ,2.722     ,1.910     ,1.594     ,1.479     ,1.479     ,1.479,
ALABAMA,CHEROKEE,1019,276     ,2.131     ,4.258     ,4.915     ,5.123     ,5.546     ,5.839     ,6.058     ,6.058     ,6.026     ,6.097     ,5.591     ,5.105     ,4.955     ,5.382     ,5.354     ,5.349     ,5.288     ,5.086     ,4.992     ,4.982     ,4.841     ,4.459     ,4.357     ,4.321     ,4.216     ,3.878     ,3.641     ,3.444     ,2.841     ,2.510,
ALABAMA,CHILTON,1021,228     ,973     ,1.828     ,2.236     ,2.332     ,2.332     ,2.345     ,2.425     ,2.425     ,2.425     ,2.336     ,2.274     ,1.989     ,1.852     ,2.097     ,2.100     ,1.994     ,1.994     ,1.902     ,1.902     ,1.902     ,1.925     ,1.501     ,1.276     ,1.027     ,975     ,974     ,878     ,878     ,742     ,646,
ALABAMA,CHOCTAW,1023,31     ,415     ,557     ,557     ,557     ,557     ,557     ,557     ,557     ,557     ,557     ,515     ,370     ,378     ,467     ,541     ,599     ,676     ,676     ,676     ,676     ,676     ,676     ,608     ,597     ,511     ,368     ,363     ,363     ,196     ,196,
ALABAMA,CLARKE,1025,223     ,282     ,531     ,1.156     ,1.494     ,1.494     ,1.494     ,1.512     ,1.512     ,1.512     ,1.512     ,1.508     ,1.360     ,736     ,727     ,726     ,726     ,726     ,708     ,701     ,711     ,698     ,698     ,700     ,409     ,409     ,339     ,339     ,339     ,62     ,62,
ALABAMA,CLAY,1027,132     ,184     ,184     ,273     ,273     ,273     ,273     ,273     ,273     ,273     ,273     ,273     ,280     ,276     ,276     ,294     ,294     ,294     ,294     ,294     ,294     ,294     ,294     ,280     ,280     ,210     ,210     ,32     ,32     ,32     ,22,
