FIPS,ACRES_2016,2016
1001,2.329,59.3
1003,3.588,64.32
1005,13.560,43.22
1007,452, 38.4 
1009,954,42.57
1011,8.751,33.44
1013,2.357,43.96
1015,37,37.59
1017,1.479,27.47
1019,2.510,41.27
1021,646,37.56
1023,196,41.23
1025,62,39.25
1027,22,30.31
1029,170,39.78
1031,12.471,48.42
1033,1.605,64.38
1035,4.189,47.48
1037,53,40.84
1039,12.504,54.16
1041,7.821,40.96
1043,1.078,44.53
1045,3.854,45.43
1047,13.153,36.78
1049,1.608,45.32
1051,698,43.58
1053,3.613,64.99
1055,796,40.5
1057,1.524,41.39
1059,2.246,56.66
1061,17.292,49.9
1063,7.660,33.84
1065,2.405,34.57
1067,6.234,44.29
1069,8.768,49.64
1071,3.278,50.14
1073,0,0
1075,1.331,36.65
1077,4.233,64.03
1079,11.477,70.42
1081,280,41.81
1083,1.668,66.65
1085,6.692,30.13
1087,3.950,42.07
1089,1.059,59.94
1091,8.370,32.99
1093,2.052,37.93
1095,993,43.61
1097,362,54.53
1099,2.355,67.32
1101,7.110,32.54
1103,4.808,58.12
1105,9.329,34.7
1107,4.518,40.61
1109,7.456,46.02
1111,146,31.17
1113,4.417,33.95
1115,556,39.31
1117,5,47.6
1119,15.123,40.04
1121,879,42.47
1123,340,32.36
1125,718,46.1
1127,312,36.66
1129,274,42.54
1131,4.285,41.87
1133,156,46.14
2999,17.424,35.14
4001,0,0
4003,0,0
4005,0,0
4007,0,0
4009,0,0
4011,0,0
4012,0,0
4013,0,0
4015,0,0
4017,0,0
4019,0,0
4021,0,0
4023,0,0
4025,0,0
4027,0,0
5001,15.174,79.14
5003,7.752,67.19
5005,66,6000
5007,46,42.92
5009,195,21.26
5011,120,49.8
5013,298,41.34
5015,103,52.9
5017,15.670,76.39
5019,1.263,40.68
5021,5.199,76.42
5023,94,38.77
5025,83,46.15
5027,0,0
5029,713,41.78
5031,1.752,83.07
5033,462,79.4
5035,8.280,80.29
5037,12.077,78.21
5039,263,43.89
5041,8.514,76.18
5043,5.878,71.49
5045,1.448,48.73
5047,369,36.53
5049,16,69.04
5051,9,4400
5053,1,4100
5055,2.547,76.83
5057,1.160,35.02
5059,16,5400
5061,0,0
5063,5.068,70.39
5065,2,47.4
5067,13.702,75.22
5069,21.396,81.87
5071,63,52.4
5073,0,0
5075,3.017,77.48
5077,2.444,68.56
5079,9.258,71.47
5081,179,48.96
5083,77,30.15
5085,12.036,83.21
5087,215,54.72
5089,0,0
5091,2.395,48.55
5093,724,88.04
5095,4.045,70.34
5097,43,44.99
5099,738,24.46
5101,0,0
5103,249,43.04
5105,1.129,52.32
5107,3.363,70.23
5109,0,0
5111,2.699,71.75
5113,0,0
5115,1.915,55.37
5117,14.869,72.51
5119,4.036,72.7
5121,354,77.88
5123,4.527,66.3
5125,1,47.8
5127,323,43.98
5129,61,6400
5131,0,0
5133,230,44.88
5135,137,56.29
5137,13,6400
5139,0,0
5141,0,0
5143,105,52.05
5145,21.100,58.36
5147,6.216,71.84
5149,5.207,61.95
6001,0,0
6003,0,0
6005,0,0
6007,0,0
6009,0,0
6011,552,30.98
6013,0,0
6015,0,0
6017,0,0
6019,0,0
6021,991,46.69
6023,8,76.6
6025,0,0
6027,0,0
6029,5.366,31.97
6031,0,0
6033,0,0
6035,0,0
6037,338,94.3
6039,0,0
6041,0,0
6043,0,0
6045,0,0
6047,559,1800
6049,0,0
6051,0,0
6053,11.029,50.21
6055,0,0
6057,0,0
6059,0,0
6061,0,0
6063,3,53.2
6065,0,0
6067,0,0
6069,0,0
6071,0,0
6073,0,0
6075,0,0
6077,0,0
6079,41.168,42.22
6081,0,0
6083,0,0
6085,0,0
6087,0,0
6089,0,0
