FIPS,County_Surface,ACRES_2016,2016
1001,#VALUE!,2.329,59,30
1003,#DIV/0!,3.588,64,32
1005,#DIV/0!,13.560,43,22
1007,#DIV/0!,452,38,40
1009,#DIV/0!,954,42,57
1011,#DIV/0!,8.751,33,44
1013,#DIV/0!,2.357,43,96
1015,#DIV/0!,37,37,59
1017,#DIV/0!,1.479,27,47
1019,#DIV/0!,2.510,41,27
1021,#DIV/0!,646,37,56
1023,#DIV/0!,196,41,23
1025,#DIV/0!,62,39,25
1027,#DIV/0!,22,30,31
1029,#DIV/0!,170,39,78
1031,#DIV/0!,12.471,48,42
1033,#DIV/0!,1.605,64,38
1035,#DIV/0!,4.189,47,48
1037,#DIV/0!,53,40,84
1039,#DIV/0!,12.504,54,16
1041,#DIV/0!,7.821,40,96
1043,#DIV/0!,1.078,44,53
1045,#DIV/0!,3.854,45,43
1047,#DIV/0!,13.153,36,78
1049,#DIV/0!,1.608,45,32
1051,#DIV/0!,698,43,58
1053,#DIV/0!,3.613,64,99
1055,#DIV/0!,796,40,50
1057,#DIV/0!,1.524,41,39
1059,#DIV/0!,2.246,56,66
1061,#DIV/0!,17.292,49,90
1063,#DIV/0!,7.660,33,84
1065,#DIV/0!,2.405,34,57
1067,#DIV/0!,6.234,44,29
1069,#DIV/0!,8.768,49,64
1071,#DIV/0!,3.278,50,14
1073,#DIV/0!,0,.
1075,#DIV/0!,1.331,36,65
1077,#DIV/0!,4.233,64,03
1079,#DIV/0!,11.477,70,42
1081,#DIV/0!,280,41,81
1083,#DIV/0!,1.668,66,65
1085,#DIV/0!,6.692,30,13
1087,#DIV/0!,3.950,42,07
1089,#DIV/0!,1.059,59,94
1091,#DIV/0!,8.370,32,99
1093,#DIV/0!,2.052,37,93
1095,#DIV/0!,993,43,61
1097,#DIV/0!,362,54,53
1099,#DIV/0!,2.355,67,32
1101,#DIV/0!,7.110,32,54
1103,#DIV/0!,4.808,58,12
1105,#DIV/0!,9.329,34,70
1107,#DIV/0!,4.518,40,61
1109,#DIV/0!,7.456,46,02
1111,#DIV/0!,146,31,17
1113,#DIV/0!,4.417,33,95
1115,#DIV/0!,556,39,31
1117,#DIV/0!,5,47,60
1119,#DIV/0!,15.123,40,04
1121,#DIV/0!,879,42,47
1123,#DIV/0!,340,32,36
1125,#DIV/0!,718,46,10
1127,#DIV/0!,312,36,66
1129,#DIV/0!,274,42,54
1131,#DIV/0!,4.285,41,87
1133,#DIV/0!,156,46,14
2999,#DIV/0!,17.424,35,14
4001,#DIV/0!,0,.
4003,#DIV/0!,0,.
4005,#DIV/0!,0,.
4007,#DIV/0!,0,.
4009,#DIV/0!,0,.
4011,#DIV/0!,0,.
4012,#DIV/0!,0,.
4013,#DIV/0!,0,.
4015,#DIV/0!,0,.
4017,#DIV/0!,0,.
4019,#DIV/0!,0,.
4021,#DIV/0!,0,.
4023,#DIV/0!,0,.
4025,#DIV/0!,0,.
4027,#DIV/0!,0,.
5001,#DIV/0!,15.174,79,14
5003,#DIV/0!,7.752,67,19
5005,#DIV/0!,66,60,00
5007,#DIV/0!,46,42,92
5009,#DIV/0!,195,21,26
5011,#DIV/0!,120,49,80
5013,#DIV/0!,298,41,34
5015,#DIV/0!,103,52,90
5017,#DIV/0!,15.670,76,39
5019,#DIV/0!,1.263,40,68
5021,#DIV/0!,5.199,76,42
5023,#DIV/0!,94,38,77
5025,#DIV/0!,83,46,15
5027,#DIV/0!,0,.
5029,#DIV/0!,713,41,78
5031,#DIV/0!,1.752,83,07
5033,#DIV/0!,462,79,40
5035,#DIV/0!,8.280,80,29
5037,#DIV/0!,12.077,78,21
5039,#DIV/0!,263,43,89
5041,#DIV/0!,8.514,76,18
5043,#DIV/0!,5.878,71,49
5045,#DIV/0!,1.448,48,73
5047,#DIV/0!,369,36,53
5049,#DIV/0!,16,69,04
5051,#DIV/0!,9,44,00
5053,#DIV/0!,1,41,00
5055,#DIV/0!,2.547,76,83
5057,#DIV/0!,1.160,35,02
5059,#DIV/0!,16,54,00
5061,#DIV/0!,0,.
5063,#DIV/0!,5.068,70,39
5065,#DIV/0!,2,47,40
5067,#DIV/0!,13.702,75,22
5069,#DIV/0!,21.396,81,87
5071,#DIV/0!,63,52,40
5073,#DIV/0!,0,.
5075,#DIV/0!,3.017,77,48
5077,#DIV/0!,2.444,68,56
5079,#DIV/0!,9.258,71,47
5081,#DIV/0!,179,48,96
5083,#DIV/0!,77,30,15
5085,#DIV/0!,12.036,83,21
5087,#DIV/0!,215,54,72
5089,#DIV/0!,0,.
5091,#DIV/0!,2.395,48,55
5093,#DIV/0!,724,88,04
5095,#DIV/0!,4.045,70,34
5097,#DIV/0!,43,44,99
5099,#DIV/0!,738,24,46
5101,#DIV/0!,0,.
5103,#DIV/0!,249,43,04
5105,#DIV/0!,1.129,52,32
5107,#DIV/0!,3.363,70,23
5109,#DIV/0!,0,.
