ch_no,case_no,fig_no from google doc,fig_no,name,description,dynamic,static
6,6,6.1,1,Mechanism: govt subsidy,,,
6,6.1,6.2,1,CRP Enrollment and payments from 1986 to today, Area of land enrolled in CRP and CRP payments from 1986 to 2016.,TRUE,
6,6.1,,2,CRP Enrollment per county 2016,Distribution of land enrolled in CRP across the United States in 2016.,TRUE,
6,6.1,,3,CRP Soil rental rate per county 2017, Average soil rental rates (USD/ha) for CRP land across the United States in the 2016 fiscal year.,TRUE,
6,6.2,6.3,1,New York water supply,,,TRUE
6,6.3,6.4,1,Invasive alien species in South Africa,Extent of invasive alien species in South Africa (shown in orange and red) along with areas cleared by Working for Water (shown in hatched green).,TRUE,
7,7,7.1,1,Mechanism: regulatory driven mitigation,,,
7,7.1,7.2,1,DC river system,,,TRUE
7,7.2,7.3,1,Wetland mitigation banks in US,More than 1300 wetland mitigation banks throughout the United States have been approved to sell.,TRUE,
7,7.3,7.4,1,CA conservation banks,,,
7,7.4,7.5,1,Forest offsets under CA AB 32,Forest Offsets projects under CA AB 32. Close to 800.000 hectares within 59 forest management,TRUE,
8,8,8.1,1,Mechanism: voluntary conservation,,,
8,8.1,8.2,1,ARPA,The Amazon Region Protected Area (ARPA) system included as of 2015 115 protected areas in Brazil covering 59.2 million ha.,TRUE,
8,8.2,8.3,1,Conservation easements,,,TRUE
9,9,9.2,1,Mechanism: water funds,,,
9,9.1,9.1,1,Water Funds Location on Map,Phases can be filtered using checkboxes on top right of the screen. Click on the markers to see more information.,TRUE,
9,9.2,,1,Multi-objective optimization for the Maragua watershed,,,TRUE
10,10,10.1,1,Mechanism: eco-certification,,,
10,10,10.2,2,Mechanism: impact investing,,,
10,10.3,10.3,1,Murray-Darling Basin,,,TRUE
13,13.1,13.1,1,Costa Rica map,,,TRUE
14,14.1,14.1,1,US Coastal hazard map,,,
14,14.2,14.2,2,US coastal hazard bar chart,,,
16,16.1,16.1,1,Belize scenarios,,,
17,17.2,17.1,2,Key Ecosystem Services in Brodeaux Metropolitan area,,,TRUE
17,17.2,17.2,1,Key Ecosystem Services in Brodeaux Metropolitan area,,,TRUE
17,17.1,17.1,1,Hamel: Yarra Ranges Council loc,,,
17,17.2,17.3,1,Hamel: Nantes+Bdx location,,,
17,17.3,17.3,1,Hamel: Nantes+Bdx location,,,
