yr,Total_Acres,Total_Money
1986,1929004,82928064
1987,15348560,754854386
1988,23870224,1158177381
1989,28875730,1410490626
1990,32521909,1594975051
1991,32995310,1620382120
1992,33992827,1679537440
1993,35014556,1743919349
1994,35014556,1743919349
1995,34977196,1741705002
1996,34503211,1717971279
1997,32816729,1620214647
1998,30134085,1376848641
1999,29822771,1346510334
2000,31424918,1420251360
2001,33607673,1557607650
2002,33963715,1602631071
2003,34110464,1625759799
2004,34706180,1665524746
2005,34901193,1690119811
2006,36002268,1762444747
2007,36770039,1819136663
2008,34610474,1756747597
2009,33719224,1736373843
2010,31296193,1666683569
2011,31122339,1716971454
2012,29524400,1693749088
2013,26837619,1632818053
2014,25447592,1620085550
2015,24185328,1615192132
2016,23883057,1734172305
