LULC,NAME,HABITAT,L_urban,L_railways,L_nightlight,L_mine,L_herders,L_all_road,L_all_ag
3,Evergreen forest,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
4,Mixed forest,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
5,High mountain steppe,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
6,Steppe,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
7,Shrubland,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
8,Dry steppe,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
9,Desert steppe,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
10,Semi desert,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
11,Desert,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
12,Barren land,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
13,Sand,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
14,Riparian meadow,1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
15,Cropland (fallow),1,0.01,0.15,0.01,0.15,0.01,0.1,0.06
18,Urban,0,0.01,0.15,0.01,0.15,0.01,0.1,0.06
19,Lakes Rivers,0,0,0,0,0,0,0,0
