,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
1,69314,13.264275615315809,-11.79559684912139,31.576593473180022,25.0,64.0,24.0,64.0,24.0,65.0,25.0,65.0,25.0,64.0
5,17736,7.904826341903473,-15.967523680649526,26.950834460983312,29.0,64.0,28.0,64.0,28.0,65.0,29.0,65.0,29.0,64.0
6,128884,16.610285217715155,-6.390242388504392,32.92573166568387,22.0,63.0,21.0,63.0,21.0,64.0,22.0,64.0,22.0,63.0
12,151840,12.427555321390939,-9.859720758693362,28.30808746048472,28.0,63.0,27.0,63.0,27.0,64.0,28.0,64.0,28.0,63.0
13,58996,4.096887924605058,-19.04535900739033,21.084480303749405,29.0,63.0,28.0,63.0,28.0,64.0,29.0,64.0,29.0,63.0
14,35336,9.372877518677836,-14.554561919855106,26.564976228209193,30.0,63.0,29.0,63.0,29.0,64.0,30.0,64.0,30.0,63.0
16,8034,-40.71446352999751,-17.30146875777944,-36.10903659447349,43.0,63.0,42.0,63.0,42.0,64.0,43.0,64.0,43.0,63.0
20,172961,7.542162684073288,-15.604673886020548,24.396829343031087,24.0,62.0,23.0,62.0,23.0,63.0,24.0,63.0,24.0,62.0
21,92344,6.799575500303214,-17.55392878801005,24.719526986052152,25.0,62.0,24.0,62.0,24.0,63.0,25.0,63.0,25.0,62.0
22,203818,14.652778459213613,-7.035688702666104,29.907073958139126,26.0,62.0,25.0,62.0,25.0,63.0,26.0,63.0,26.0,62.0
23,55669,5.1303238786398175,-17.672313136575113,21.859562772817906,27.0,62.0,26.0,62.0,26.0,63.0,27.0,63.0,27.0,62.0
25,70024,4.275676910773449,-17.466868502227808,19.923169199131728,29.0,62.0,28.0,62.0,28.0,63.0,29.0,63.0,29.0,62.0
26,60136,6.518557935346548,-14.816416123453505,22.380936543833975,30.0,62.0,29.0,62.0,29.0,63.0,30.0,63.0,30.0,62.0
31,6466,153.9591710485617,179.15248994741725,159.23291060934116,36.0,62.0,35.0,62.0,35.0,63.0,36.0,63.0,36.0,62.0
37,8485,-40.8367707719505,-15.87507365939894,-34.27224513847967,43.0,62.0,42.0,62.0,42.0,63.0,43.0,63.0,43.0,62.0
38,9262,-40.02375296912114,-17.24249622111855,-34.700928525156556,44.0,62.0,43.0,62.0,43.0,63.0,44.0,63.0,44.0,62.0
45,83001,34.12368525680414,3.662606474620788,59.60169154588499,17.0,61.0,16.0,61.0,16.0,62.0,17.0,62.0,17.0,61.0
46,110771,37.78335484919338,9.487140135956162,61.012358830379796,18.0,61.0,17.0,61.0,17.0,62.0,18.0,62.0,18.0,61.0
49,303016,16.587242917865723,-5.6079546954616255,32.15044750112205,24.0,61.0,23.0,61.0,23.0,62.0,24.0,62.0,24.0,61.0
50,209226,13.3707091852829,-9.452936059571947,29.617733933641134,25.0,61.0,24.0,61.0,24.0,62.0,25.0,62.0,25.0,61.0
51,223587,18.927755191491457,-3.855322536641218,34.84907440951397,26.0,61.0,25.0,61.0,25.0,62.0,26.0,62.0,26.0,61.0
52,125183,11.262711390524272,-11.704464663732296,27.83445036466613,27.0,61.0,26.0,61.0,26.0,62.0,27.0,62.0,27.0,61.0
54,158822,1.2070116230748889,-8.33008021558726,13.762576972963444,29.0,61.0,28.0,61.0,28.0,62.0,29.0,62.0,29.0,61.0
55,30268,4.361041363816572,29.69142328531783,9.181313598519889,31.0,61.0,30.0,61.0,30.0,62.0,31.0,62.0,31.0,61.0
59,13275,96.54237288135593,118.90018832391713,101.67231638418079,36.0,61.0,35.0,61.0,35.0,62.0,36.0,62.0,36.0,61.0
69,106153,-13.996778235188831,-8.244703399809708,-8.62246003410172,47.0,61.0,46.0,61.0,46.0,62.0,47.0,62.0,47.0,61.0
80,19836,41.157491429723734,13.697318007662835,67.53377697116355,5.0,60.0,4.0,60.0,4.0,61.0,5.0,61.0,5.0,60.0
81,468047,56.35545148243659,19.053855702525603,83.30274523712362,6.0,60.0,5.0,60.0,5.0,61.0,6.0,61.0,6.0,60.0
82,1220250,61.734972341733254,20.736570374923172,91.28867035443557,11.0,60.0,10.0,60.0,10.0,61.0,11.0,61.0,11.0,60.0
84,67704,29.853479853479854,3.444405057308283,57.11479380834219,13.0,60.0,12.0,60.0,12.0,61.0,13.0,61.0,13.0,60.0
88,163463,36.6590604601653,5.923664682527544,62.13699736331769,17.0,60.0,16.0,60.0,16.0,61.0,17.0,61.0,17.0,60.0
89,320515,38.96011107124472,8.741556557415409,63.81511005725161,18.0,60.0,17.0,60.0,17.0,61.0,18.0,61.0,18.0,60.0
90,90017,33.68585933768066,2.068498172567404,60.19085283890821,19.0,60.0,18.0,60.0,18.0,61.0,19.0,61.0,19.0,60.0
94,964604,23.807593582444195,1.4331269619450053,39.018913460860624,25.0,60.0,24.0,60.0,24.0,61.0,25.0,61.0,25.0,60.0
95,709840,23.776484841654458,1.3514313084638792,39.02879522145836,26.0,60.0,25.0,60.0,25.0,61.0,26.0,61.0,26.0,60.0
98,62991,-35.95593021225255,-13.516216602371767,-30.907589973170772,29.0,60.0,28.0,60.0,28.0,61.0,29.0,61.0,29.0,60.0
99,494472,-16.56393081913637,-8.447596628322737,-11.74889579187497,30.0,60.0,29.0,60.0,29.0,61.0,30.0,61.0,30.0,60.0
100,5319403,4.474524678803242,-1.8926559991788552,9.533513441263992,31.0,60.0,30.0,60.0,30.0,61.0,31.0,61.0,31.0,60.0
102,62446,-17.389424462735803,4.84258399256958,-12.37228965826474,33.0,60.0,32.0,60.0,32.0,61.0,33.0,61.0,33.0,60.0
107,15675,-38.88357256778309,-14.19457735247209,-33.696969696969695,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
127,11831,-23.489138703406304,-12.441889950131012,-10.117487955371482,-3.0,59.0,-4.0,59.0,-4.0,60.0,-3.0,60.0,-3.0,59.0
128,491325,55.53533811631812,18.22398615987381,83.26647331196256,6.0,59.0,5.0,59.0,5.0,60.0,6.0,60.0,6.0,59.0
129,42142,16.629490769303782,2.5200512552797685,41.28422950975274,7.0,59.0,6.0,59.0,6.0,60.0,7.0,60.0,7.0,59.0
130,206318,43.914733566630154,13.487916711096462,72.98539148305044,10.0,59.0,9.0,59.0,9.0,60.0,10.0,60.0,10.0,59.0
131,422198,63.598832775143414,21.73127300460921,92.28892604891544,11.0,59.0,10.0,59.0,10.0,60.0,11.0,60.0,11.0,59.0
132,0,1000.0,1000.0,1000.0,12.0,59.0,11.0,59.0,11.0,60.0,12.0,60.0,12.0,59.0
135,127081,32.74447006240115,1.8334762867777243,58.56186211943564,15.0,59.0,14.0,59.0,14.0,60.0,15.0,60.0,15.0,59.0
138,1140154,39.51325873522349,12.125993506140398,61.345484908179074,18.0,59.0,17.0,59.0,17.0,60.0,18.0,60.0,18.0,59.0
139,1267198,40.62687914595825,12.647352663119733,62.8724161496467,19.0,59.0,18.0,59.0,18.0,60.0,19.0,60.0,19.0,59.0
140,31352,-8.618269966828272,-19.395891809134984,1.2822148507272264,24.0,59.0,23.0,59.0,23.0,60.0,24.0,60.0,24.0,59.0
141,626780,3.7879319697501517,-17.619100800918982,12.980312071221162,25.0,59.0,24.0,59.0,24.0,60.0,25.0,60.0,25.0,59.0
142,89365,-15.647065405919543,-20.45767358585576,-5.066860627762547,26.0,59.0,25.0,59.0,25.0,60.0,26.0,60.0,26.0,59.0
144,97033,13.96432141642534,-8.686735440520236,23.372460915358694,28.0,59.0,27.0,59.0,27.0,60.0,28.0,60.0,28.0,59.0
145,186001,-16.845608356944318,-15.115510131665959,-10.201020424621372,29.0,59.0,28.0,59.0,28.0,60.0,29.0,60.0,29.0,59.0
146,146047,-34.21569768636124,-14.294028634617623,-29.033119475237424,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0
147,249187,-33.751760725880565,-14.11269448245695,-28.462560245919732,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0
148,144984,-33.43058544391105,-13.929123213595982,-28.034817635049386,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0
149,70120,-36.21648602395893,-14.252709640616088,-30.499144324015973,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0
150,35027,-38.904273845890316,-16.19607731178805,-33.35997944442858,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0
151,41306,-38.74739747252215,-16.118723672105748,-33.63191788117949,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0
154,362624,4.341687257324391,-1.9218253618072714,9.559764384045181,38.0,59.0,37.0,59.0,37.0,60.0,38.0,60.0,38.0,59.0
155,85582,-19.893201841508727,-9.449416933467317,-14.589516487111776,39.0,59.0,38.0,59.0,38.0,60.0,39.0,60.0,39.0,59.0
156,353960,2.2612724601649905,-2.702000226014239,7.5172335857159,40.0,59.0,39.0,59.0,39.0,60.0,40.0,60.0,40.0,59.0
159,19696,-39.60194963444354,-15.201056051990252,-34.51462225832656,43.0,59.0,42.0,59.0,42.0,60.0,43.0,60.0,43.0,59.0
161,15041,-39.47875806129912,-15.743634066883851,-32.9100458746094,45.0,59.0,44.0,59.0,44.0,60.0,45.0,60.0,45.0,59.0
162,17679,-39.193393291475765,-16.776967023021665,-33.88766332937384,46.0,59.0,45.0,59.0,45.0,60.0,46.0,60.0,46.0,59.0
163,19535,-100.0,-100.0,-100.0,47.0,59.0,46.0,59.0,46.0,60.0,47.0,60.0,47.0,59.0
164,17563,-39.52058304389911,-15.509878722313955,-33.38837328474634,48.0,59.0,47.0,59.0,47.0,60.0,48.0,60.0,48.0,59.0
165,182511,-5.777733944803327,-5.169003512117078,-0.4821627189594052,50.0,59.0,49.0,59.0,49.0,60.0,50.0,60.0,50.0,59.0
166,62527,-9.73979240967902,-6.539574903641626,-4.685975658515521,51.0,59.0,50.0,59.0,50.0,60.0,51.0,60.0,51.0,59.0
168,36251,-36.39072025599294,-14.954070232545309,-31.290171305619154,53.0,59.0,52.0,59.0,52.0,60.0,53.0,60.0,53.0,59.0
171,29051,-39.70603421568965,-15.965027021445044,-34.460087432446386,56.0,59.0,55.0,59.0,55.0,60.0,56.0,60.0,56.0,59.0
172,251588,0.39469291063166767,-3.1750321954942207,5.42513951380829,57.0,59.0,56.0,59.0,56.0,60.0,57.0,60.0,57.0,59.0
175,8806,-40.47240517828753,-16.454689984101748,-33.159209629797864,63.0,59.0,62.0,59.0,62.0,60.0,63.0,60.0,63.0,59.0
186,0,1000.0,1000.0,1000.0,-122.0,58.0,-123.0,58.0,-123.0,59.0,-122.0,59.0,-122.0,58.0
187,4886,24.68276708964388,-19.156774457634057,69.46377404830127,-117.0,58.0,-118.0,58.0,-118.0,59.0,-117.0,59.0,-117.0,58.0
191,99947,0.7473961199435701,-7.889181266071017,16.888951144106375,-3.0,58.0,-4.0,58.0,-4.0,59.0,-3.0,59.0,-3.0,58.0
192,63767,-36.22249753007041,-25.59787978107799,-21.5581727225681,-2.0,58.0,-3.0,58.0,-3.0,59.0,-2.0,59.0,-2.0,58.0
194,45422,25.11117960459689,6.173220025538285,52.53841750693496,7.0,58.0,6.0,58.0,6.0,59.0,7.0,59.0,7.0,58.0
196,157229,58.298405510433824,19.63505460188642,87.01002995630577,9.0,58.0,8.0,58.0,8.0,59.0,9.0,59.0,9.0,58.0
197,1293,77.4168600154679,44.70224284609436,106.72853828306265,10.0,58.0,9.0,58.0,9.0,59.0,10.0,59.0,10.0,58.0
198,11753,11.307751212456393,-8.414872798434443,25.72109248702459,11.0,58.0,10.0,58.0,10.0,59.0,11.0,59.0,11.0,58.0
199,606749,39.942546258831904,10.928736594539092,63.330965522810914,12.0,58.0,11.0,58.0,11.0,59.0,12.0,59.0,12.0,58.0
200,602875,39.146921003524774,9.6144308521667,63.17263114244246,13.0,58.0,12.0,58.0,12.0,59.0,13.0,59.0,13.0,58.0
207,33348,-17.96509535804246,-15.416216864579585,-8.45627923713566,23.0,58.0,22.0,58.0,22.0,59.0,23.0,59.0,23.0,58.0
209,99313,-9.489190740386455,-18.918973346893157,-1.7097459547088498,25.0,58.0,24.0,58.0,24.0,59.0,25.0,59.0,25.0,58.0
