,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
0,0.0,inf,inf,inf,26.0,65.0,25.0,65.0,25.0,66.0,26.0,66.0,26.0,65.0
1,479.2079305068127,2.603935944442038,2.59093746953259,35.629992792969645,25.0,64.0,24.0,64.0,24.0,65.0,25.0,65.0,25.0,64.0
2,23750.552669916953,2.7989996331391698,3.5330233561512046,8.105465635691004,26.0,64.0,25.0,64.0,25.0,65.0,26.0,65.0,26.0,64.0
3,630.529173350626,97.99246002279506,100.51991860201701,161.0710021669376,27.0,64.0,26.0,64.0,26.0,65.0,27.0,65.0,27.0,64.0
4,0.0,inf,inf,inf,28.0,64.0,27.0,64.0,27.0,65.0,28.0,65.0,28.0,64.0
5,0.0010423486882607045,0.5318933282211069,0.0,261.1468404300261,29.0,64.0,28.0,64.0,28.0,65.0,29.0,65.0,29.0,64.0
6,1390.5882005246128,12.780868104892024,6.84775882784231,54.2719330166955,22.0,63.0,21.0,63.0,21.0,64.0,22.0,64.0,22.0,63.0
7,20726.513456437908,14.418300700625792,14.258359771672371,32.938184957191034,23.0,63.0,22.0,63.0,22.0,64.0,23.0,64.0,23.0,63.0
8,10276.934761863266,23.919476526204473,24.92234021125146,55.168859161801194,24.0,63.0,23.0,63.0,23.0,64.0,24.0,64.0,24.0,63.0
9,9584.241289637588,9.12000778735999,8.776884956687907,22.645986651444975,25.0,63.0,24.0,63.0,24.0,64.0,25.0,64.0,25.0,63.0
10,9160.373452767106,6.19875518051414,5.327181457441667,30.17265753751913,26.0,63.0,25.0,63.0,25.0,64.0,26.0,64.0,26.0,63.0
11,124.40371509815161,779.6361485391453,756.0063401096162,1368.5966313055665,27.0,63.0,26.0,63.0,26.0,64.0,27.0,64.0,27.0,63.0
12,25.4902351480324,364.7577313038595,320.09006516647946,1344.0451285275212,28.0,63.0,27.0,63.0,27.0,64.0,28.0,64.0,28.0,63.0
13,0.20578704075996782,797.7684480885547,802.0132601616939,1436.0889385418136,29.0,63.0,28.0,63.0,28.0,64.0,29.0,64.0,29.0,63.0
14,2.1166370514621926,738.8062774603162,692.982200742475,1290.8928166295213,30.0,63.0,29.0,63.0,29.0,64.0,30.0,64.0,30.0,63.0
15,0.0,inf,inf,inf,31.0,63.0,30.0,63.0,30.0,64.0,31.0,64.0,31.0,63.0
16,0.05656963318485817,0.0,0.0,0.0,43.0,63.0,42.0,63.0,42.0,64.0,43.0,64.0,43.0,63.0
18,14419.867463447576,2.487786958154657,3.5676108700991,21.835231986224603,22.0,62.0,21.0,62.0,21.0,63.0,22.0,63.0,22.0,62.0
19,44336.21356066678,11.229233096837314,12.509110454507757,30.763413544170394,23.0,62.0,22.0,62.0,22.0,63.0,23.0,63.0,23.0,62.0
20,4451.615538916763,19.148771321736607,15.994642147738135,67.65237041258628,24.0,62.0,23.0,62.0,23.0,63.0,24.0,63.0,24.0,62.0
21,0.17267977968243167,1076.5411620037016,1074.818090395733,1470.0658200476512,25.0,62.0,24.0,62.0,24.0,63.0,25.0,63.0,25.0,62.0
22,0.0741556313482403,763.4727383843712,737.5338595074535,1375.032298504133,26.0,62.0,25.0,62.0,25.0,63.0,26.0,63.0,26.0,62.0
23,0.00428016401182956,1594.067386598076,1349.6412788106566,8654.317081684167,27.0,62.0,26.0,62.0,26.0,63.0,27.0,63.0,27.0,62.0
24,0.0,inf,inf,inf,28.0,62.0,27.0,62.0,27.0,63.0,28.0,63.0,28.0,62.0
25,0.0006897034884592512,213.45816953379335,144.59635190282336,4993.812977429952,29.0,62.0,28.0,62.0,28.0,63.0,29.0,63.0,29.0,62.0
26,246.21508014652218,108.33361372302247,100.56686413811467,269.7692073480009,30.0,62.0,29.0,62.0,29.0,63.0,30.0,63.0,30.0,62.0
27,0.0,inf,inf,inf,31.0,62.0,30.0,62.0,30.0,63.0,31.0,63.0,31.0,62.0
28,0.0,inf,inf,inf,32.0,62.0,31.0,62.0,31.0,63.0,32.0,63.0,32.0,62.0
31,1.3511910507570912,-100.0,-100.0,-100.0,36.0,62.0,35.0,62.0,35.0,63.0,36.0,63.0,36.0,62.0
37,1.1153152104935249,0.0,0.0,0.0,43.0,62.0,42.0,62.0,42.0,63.0,43.0,63.0,43.0,62.0
38,1.3764129766759752,0.0,0.0,0.0,44.0,62.0,43.0,62.0,43.0,63.0,44.0,63.0,44.0,62.0
43,0.0,inf,inf,inf,6.0,61.0,5.0,61.0,5.0,62.0,6.0,62.0,6.0,61.0
45,0.0016652339957788154,1.522193692376013,0.0,2715.593217464788,17.0,61.0,16.0,61.0,16.0,62.0,17.0,62.0,17.0,61.0
46,0.2175058282009321,5.972123519917427,2.8767859026412017,78.66798857871682,18.0,61.0,17.0,61.0,17.0,62.0,18.0,62.0,18.0,61.0
47,23954.609926057732,-5.460446865451048,-1.272287696565478,0.8937870724081175,22.0,61.0,21.0,61.0,21.0,62.0,22.0,62.0,22.0,61.0
48,26063.467897370716,24.522993140291266,24.264762236244803,51.5089433768689,23.0,61.0,22.0,61.0,22.0,62.0,23.0,62.0,23.0,61.0
49,8186.540100217165,32.9714464469847,32.010347277488194,82.1140638248806,24.0,61.0,23.0,61.0,23.0,62.0,24.0,62.0,24.0,61.0
50,1959.2842720983042,11.222623920207772,12.637889648886205,40.36747117449762,25.0,61.0,24.0,61.0,24.0,62.0,25.0,62.0,25.0,61.0
51,1350.6155756101004,33.236500733890956,31.58180408385529,82.84900032235058,26.0,61.0,25.0,61.0,25.0,62.0,26.0,62.0,26.0,61.0
52,30.199370644227468,31.942817615437324,25.33369423739485,755.9676220432117,27.0,61.0,26.0,61.0,26.0,62.0,27.0,62.0,27.0,61.0
53,0.0,inf,inf,inf,28.0,61.0,27.0,61.0,27.0,62.0,28.0,62.0,28.0,61.0
54,663.6841402986032,26.42105016262942,21.61719092211119,75.80754504682359,29.0,61.0,28.0,61.0,28.0,62.0,29.0,62.0,29.0,61.0
55,0.005152971205516077,0.0,0.0,329.998459695211,31.0,61.0,30.0,61.0,30.0,62.0,31.0,62.0,31.0,61.0
59,0.006104816088201549,-100.0,-100.0,-100.0,36.0,61.0,35.0,61.0,35.0,62.0,36.0,62.0,36.0,61.0
69,0.0003701941055013999,508.7632951883793,508.7632951883793,508.7632951883793,47.0,61.0,46.0,61.0,46.0,62.0,47.0,62.0,47.0,61.0
80,11.688675604865237,-23.682762047147452,-11.493127995648505,29.374472746160485,5.0,60.0,4.0,60.0,4.0,61.0,5.0,61.0,5.0,60.0
81,25.666705164287247,48.38710492090046,-36.66412326983267,317.4769196572813,6.0,60.0,5.0,60.0,5.0,61.0,6.0,61.0,6.0,60.0
82,6276.455296669231,0.1155922992034606,1.8001698096235097,7.204467454605506,11.0,60.0,10.0,60.0,10.0,61.0,11.0,61.0,11.0,60.0
83,48717.984050944586,4.064093724324264,5.506862860053793,11.977714278249215,12.0,60.0,11.0,60.0,11.0,61.0,12.0,61.0,12.0,60.0
84,9653.245138201504,9.916497473243663,9.697864535235595,24.238383953859458,13.0,60.0,12.0,60.0,12.0,61.0,13.0,61.0,13.0,60.0
88,0.14614584704475397,10.750591861102595,6.4670271878250425,392.0205245466094,17.0,60.0,16.0,60.0,16.0,61.0,17.0,61.0,17.0,60.0
89,6019.477914569353,14.298396448482162,12.42453644293967,35.68189813256773,18.0,60.0,17.0,60.0,17.0,61.0,18.0,61.0,18.0,60.0
90,2837.8437251720247,75.92842432686041,65.10500717087425,140.16697185080105,19.0,60.0,18.0,60.0,18.0,61.0,19.0,61.0,19.0,60.0
91,9901.313893376826,-3.420866544192404,-1.1239830194324516,1.6781480564571838,22.0,60.0,21.0,60.0,21.0,61.0,22.0,61.0,22.0,60.0
92,57215.5569312245,8.80257497977294,7.999326286874574,31.94516560252273,23.0,60.0,22.0,60.0,22.0,61.0,23.0,61.0,23.0,60.0
93,51147.34257491526,13.483149707937736,13.46818642129872,36.895442869942876,24.0,60.0,23.0,60.0,23.0,61.0,24.0,61.0,24.0,60.0
94,2270.768449293609,46.220958652962395,45.74605149103748,54.53987970813544,25.0,60.0,24.0,60.0,24.0,61.0,25.0,61.0,25.0,60.0
95,2426.0498208504673,0.5060194853509965,0.5321055782003838,11.657923285328973,26.0,60.0,25.0,60.0,25.0,61.0,26.0,61.0,26.0,60.0
96,5079.989736235403,30.164018325118175,29.88579474942505,65.97067247679315,27.0,60.0,26.0,60.0,26.0,61.0,27.0,61.0,27.0,60.0
97,899.6968389535144,36.590702139014155,27.88360558747362,201.05220587340986,28.0,60.0,27.0,60.0,27.0,61.0,28.0,61.0,28.0,60.0
98,0.0037920695290285557,1448132.4573379797,1440601.6082410812,1637263.8701572197,29.0,60.0,28.0,60.0,28.0,61.0,29.0,61.0,29.0,60.0
99,0.67924023028427,0.0,0.0,0.0,30.0,60.0,29.0,60.0,29.0,61.0,30.0,61.0,30.0,60.0
100,34.77176921595937,1.2509642919384654,1.2509642919384654,1.2509642919384654,31.0,60.0,30.0,60.0,30.0,61.0,31.0,61.0,31.0,60.0
102,0.37209644396654573,0.0,0.0,0.0,33.0,60.0,32.0,60.0,32.0,61.0,33.0,61.0,33.0,60.0
107,4.812284788539633,0.0,0.0,0.0,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
127,0.07693476856534219,-4.2061818660585875,-4.2061818660585875,-4.2061818660585875,-3.0,59.0,-4.0,59.0,-4.0,60.0,-3.0,60.0,-3.0,59.0
128,2890.609922663049,-8.653657077200696,2.3196706325285543,-22.592612249201977,6.0,59.0,5.0,59.0,5.0,60.0,6.0,60.0,6.0,59.0
129,1.9324094927950322,-97.45849554210157,1.1259074817548198,5.608267291464665,7.0,59.0,6.0,59.0,6.0,60.0,7.0,60.0,7.0,59.0
130,1207.8830888517432,1.8946894959801475,1.7793818985467522,-3.5776540026475026,10.0,59.0,9.0,59.0,9.0,60.0,10.0,60.0,10.0,59.0
131,10084.124510569995,-8.964977588740872,-7.582494838816281,-8.889648168821742,11.0,59.0,10.0,59.0,10.0,60.0,11.0,60.0,11.0,59.0
132,12302.94881282166,14.690980719571149,13.87819436946584,57.54516759436165,12.0,59.0,11.0,59.0,11.0,60.0,12.0,60.0,12.0,59.0
135,8592.398801179012,0.8071631596514459,0.6779353832271637,12.480115030266509,15.0,59.0,14.0,59.0,14.0,60.0,15.0,60.0,15.0,59.0
136,15065.757003560642,5.633704829206388,4.102690120380941,21.833734612497054,16.0,59.0,15.0,59.0,15.0,60.0,16.0,60.0,16.0,59.0
137,13719.975307221366,7.400014611737208,6.8084247268567015,22.27182473205308,17.0,59.0,16.0,59.0,16.0,60.0,17.0,60.0,17.0,59.0
138,45624.362595344595,1.1626190946220767,0.8462078892805954,9.9988044714433,18.0,59.0,17.0,59.0,17.0,60.0,18.0,60.0,18.0,59.0
139,2843.8971819013204,63.57644758212981,56.26684579681693,137.11375394425775,19.0,59.0,18.0,59.0,18.0,60.0,19.0,60.0,19.0,59.0
140,0.0067088653655907465,903.6464635402773,903.6464635402773,3873.1995834186387,24.0,59.0,23.0,59.0,23.0,60.0,24.0,60.0,24.0,59.0
141,11.18742549093411,-67.62165446550785,-64.80196902207635,22.64569262301998,25.0,59.0,24.0,59.0,24.0,60.0,25.0,60.0,25.0,59.0
142,2031.5834257489278,-8.7992708159742,-5.606752758145486,21.737469365102744,26.0,59.0,25.0,59.0,25.0,60.0,26.0,60.0,26.0,59.0
143,3211.0536846836962,-20.539238349216358,-19.570560524930578,29.746861880570577,27.0,59.0,26.0,59.0,26.0,60.0,27.0,60.0,27.0,59.0
144,2025.7606474310996,4.938465369240421,4.938465369240421,9.801306854318462,28.0,59.0,27.0,59.0,27.0,60.0,28.0,60.0,28.0,59.0
145,26.841458582312324,-2.0476043902595946,-3.5743195567486827,2.159287913631707,29.0,59.0,28.0,59.0,28.0,60.0,29.0,60.0,29.0,59.0
146,531.2404638872628,-8.580884412829544,-9.611334478247876,0.07364199114154366,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0
147,1364.0465227246636,-1.0430214158959126,-1.287413829987434,0.25988064652526577,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0
148,20.235081664556116,-0.061086351452141814,-0.061086351452141814,0.0,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0
149,4.6788200814440115,-4.680891686822859,-4.680891686822859,-3.120673577015932,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0
150,2.28991754104331,-0.2988077577682327,-0.2988077577682327,8.997005290225756,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0
151,0.048641127735692125,-10.61999390087154,-10.61999390087154,1.4448864156924621,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0
154,0.028747939241677182,-7.86672285580647,-7.86672285580647,0.5495739007728128,38.0,59.0,37.0,59.0,37.0,60.0,38.0,60.0,38.0,59.0
155,33.6627756937174,1.8015412400487583,1.8015412400487583,1.8015412400487583,39.0,59.0,38.0,59.0,38.0,60.0,39.0,60.0,39.0,59.0
156,1.708578420722725,0.1235213537615265,0.1235213537615265,0.1235213537615265,40.0,59.0,39.0,59.0,39.0,60.0,40.0,60.0,40.0,59.0
159,0.0024100143291863447,0.0,0.0,0.0,43.0,59.0,42.0,59.0,42.0,60.0,43.0,60.0,43.0,59.0
161,0.11771744070469703,0.0,0.0,0.0,45.0,59.0,44.0,59.0,44.0,60.0,45.0,60.0,45.0,59.0
162,1.5806470576078258,0.0,0.0,0.0,46.0,59.0,45.0,59.0,45.0,60.0,46.0,60.0,46.0,59.0
163,256.04876585558003,0.0,0.0,0.0,47.0,59.0,46.0,59.0,46.0,60.0,47.0,60.0,47.0,59.0
164,0.023766017431862085,0.0,0.0,0.0,48.0,59.0,47.0,59.0,47.0,60.0,48.0,60.0,48.0,59.0
165,41.20582145971419,-0.0016097719880705501,-0.0016097719880705501,0.0,50.0,59.0,49.0,59.0,49.0,60.0,50.0,60.0,50.0,59.0
166,1.402072913074425e-05,-100.0,-100.0,0.0,51.0,59.0,50.0,59.0,50.0,60.0,51.0,60.0,51.0,59.0
168,0.29465237014018747,0.0,0.0,0.0,53.0,59.0,52.0,59.0,52.0,60.0,53.0,60.0,53.0,59.0
170,448.0798648588905,0.0,0.0,0.0,55.0,59.0,54.0,59.0,54.0,60.0,55.0,60.0,55.0,59.0
171,94.30846099977738,0.0,0.0,0.0,56.0,59.0,55.0,59.0,55.0,60.0,56.0,60.0,56.0,59.0
172,0.02430424523092022,10.264582437570493,10.264582437570493,10.264582437570493,57.0,59.0,56.0,59.0,56.0,60.0,57.0,60.0,57.0,59.0
175,0.0004361232366121455,0.0,0.0,0.0,63.0,59.0,62.0,59.0,62.0,60.0,63.0,60.0,63.0,59.0
186,0.09426960008988165,0.3030664913024212,0.3030664913024212,0.3030664913024212,-122.0,58.0,-123.0,58.0,-123.0,59.0,-122.0,59.0,-122.0,58.0
187,1.5244660004870647,0.0,0.0,0.0,-117.0,58.0,-118.0,58.0,-118.0,59.0,-117.0,59.0,-117.0,58.0
