,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
0,0.0,1000.0,1000.0,1000.0,26.0,65.0,25.0,65.0,25.0,66.0,26.0,66.0,26.0,65.0
1,3399.7321405573966,0.13760314169627086,0.136901787763462,-2.729067987381791,25.0,64.0,24.0,64.0,24.0,65.0,25.0,65.0,25.0,64.0
2,49740.57754893795,-2.2283082665184213,-0.9744340128549694,-3.0206120173976623,26.0,64.0,25.0,64.0,25.0,65.0,26.0,65.0,26.0,64.0
3,6098.744337948837,-10.774396606527473,-8.885998075824604,-13.33509196488346,27.0,64.0,26.0,64.0,26.0,65.0,27.0,65.0,27.0,64.0
4,0.0,1000.0,1000.0,1000.0,28.0,64.0,27.0,64.0,27.0,65.0,28.0,65.0,28.0,64.0
5,0.0015552007714118466,0.5290443985082164,0.0,256.19558933950486,29.0,64.0,28.0,64.0,28.0,65.0,29.0,65.0,29.0,64.0
6,5184.57998161436,-1.9707215921374786,-2.003286187929261,0.09728775747282946,22.0,63.0,21.0,63.0,21.0,64.0,22.0,64.0,22.0,63.0
7,51922.11080769704,-1.9144785573235437,-0.997755896137485,-3.663482391192908,23.0,63.0,22.0,63.0,22.0,64.0,23.0,64.0,23.0,63.0
8,36469.85053064018,-2.0509342866890217,-0.8324805609256168,-4.1918100168492165,24.0,63.0,23.0,63.0,23.0,64.0,24.0,64.0,24.0,63.0
9,23330.981920949154,-1.4257033043912841,-0.779074794580669,-3.095950090516008,25.0,63.0,24.0,63.0,24.0,64.0,25.0,64.0,25.0,63.0
10,30007.357873939985,-1.111182604201656,-0.8754130637023125,-2.1805345583366154,26.0,63.0,25.0,63.0,25.0,64.0,26.0,64.0,26.0,63.0
11,9144.331746168156,1.551512263878401,1.7125523228157589,0.12477910627211607,27.0,63.0,26.0,63.0,26.0,64.0,27.0,64.0,27.0,63.0
12,8222.293350261223,-36.608840155109824,-38.19997443263967,-14.984986409544794,28.0,63.0,27.0,63.0,27.0,64.0,28.0,64.0,28.0,63.0
13,37.71639476834105,7.201115076862237,7.323686028019143,8.659914312251288,29.0,63.0,28.0,63.0,28.0,64.0,29.0,64.0,29.0,63.0
14,162.6085903609878,-33.63509591581662,-34.708784005021414,-26.52562899647687,30.0,63.0,29.0,63.0,29.0,64.0,30.0,64.0,30.0,63.0
15,0.0,1000.0,1000.0,1000.0,31.0,63.0,30.0,63.0,30.0,64.0,31.0,64.0,31.0,63.0
16,21.484247473718113,0.0,0.0,0.0,43.0,63.0,42.0,63.0,42.0,64.0,43.0,64.0,43.0,63.0
18,41982.09641229027,-3.714112240230331,-2.118153159237138,-6.470496232976548,22.0,62.0,21.0,62.0,21.0,63.0,22.0,63.0,22.0,62.0
19,110302.52372827227,-2.5146117761671136,-1.1950355332126212,-3.0277792177879874,23.0,62.0,22.0,62.0,22.0,63.0,23.0,63.0,23.0,62.0
20,21737.70833515701,-0.8197766231976986,-0.7610372555918788,-0.5289572261889075,24.0,62.0,23.0,62.0,23.0,63.0,24.0,63.0,24.0,62.0
21,7.487035595480951,-13.223132092217112,-13.255719690204028,-10.173640455489593,25.0,62.0,24.0,62.0,24.0,63.0,25.0,63.0,25.0,62.0
22,14.128098289571808,129.2517851157937,128.71385980176032,101.86298958924634,26.0,62.0,25.0,62.0,25.0,63.0,26.0,63.0,26.0,62.0
23,4.210532961177412,121.08047577215423,138.6074204311028,70.07891313720738,27.0,62.0,26.0,62.0,26.0,63.0,27.0,63.0,27.0,62.0
24,0.0,1000.0,1000.0,1000.0,28.0,62.0,27.0,62.0,27.0,63.0,28.0,63.0,28.0,62.0
25,6.528853339381405,2.292830504619348,1.6506802460494492,28.9969069905018,29.0,62.0,28.0,62.0,28.0,63.0,29.0,63.0,29.0,62.0
26,6276.38938571042,-6.097185664335644,-5.171905680136381,-6.026308643060265,30.0,62.0,29.0,62.0,29.0,63.0,30.0,63.0,30.0,62.0
27,0.0,1000.0,1000.0,1000.0,31.0,62.0,30.0,62.0,30.0,63.0,31.0,63.0,31.0,62.0
28,0.0,1000.0,1000.0,1000.0,32.0,62.0,31.0,62.0,31.0,63.0,32.0,63.0,32.0,62.0
31,295.0927803605653,-100.0,-100.0,-100.0,36.0,62.0,35.0,62.0,35.0,63.0,36.0,63.0,36.0,62.0
37,92.8632560961423,0.0,0.0,0.0,43.0,62.0,42.0,62.0,42.0,63.0,43.0,63.0,43.0,62.0
38,23.12942344144116,0.0,0.0,0.0,44.0,62.0,43.0,62.0,43.0,63.0,44.0,63.0,44.0,62.0
43,0.0,1000.0,1000.0,1000.0,6.0,61.0,5.0,61.0,5.0,62.0,6.0,62.0,6.0,61.0
45,0.0024936624171043157,1.5195961085388068,0.0,2592.961787908763,17.0,61.0,16.0,61.0,16.0,62.0,17.0,62.0,17.0,61.0
46,0.3147860574264986,5.687159793123429,2.772820247830102,73.6886195161633,18.0,61.0,17.0,61.0,17.0,62.0,18.0,62.0,18.0,61.0
47,61247.45392734742,-3.7049148944755057,-0.020565780916579623,-3.7182493840236295,22.0,61.0,21.0,61.0,21.0,62.0,22.0,62.0,22.0,61.0
48,92530.25810789494,-1.0052169181735675,-0.31001089136903737,-1.840638737941295,23.0,61.0,22.0,61.0,22.0,62.0,23.0,62.0,23.0,61.0
49,47578.716224235344,0.7211223139525997,0.9271163021266102,0.8486669455495078,24.0,61.0,23.0,61.0,23.0,62.0,24.0,62.0,24.0,61.0
50,11836.267692489442,-2.0303779648429066,-0.3793634785198187,-4.79128784144495,25.0,61.0,24.0,61.0,24.0,62.0,25.0,62.0,25.0,61.0
51,11766.239551365932,2.491213905678704,2.501255427668168,3.8404483935043627,26.0,61.0,25.0,61.0,25.0,62.0,26.0,62.0,26.0,61.0
52,2376.1260815188452,-21.189424568731006,-20.65602059762391,-10.735216983381878,27.0,61.0,26.0,61.0,26.0,62.0,27.0,62.0,27.0,61.0
53,0.0,1000.0,1000.0,1000.0,28.0,61.0,27.0,61.0,27.0,62.0,28.0,62.0,28.0,61.0
54,7361.589486340266,-1.3302674080317032,-0.42262006030369864,-1.4796328496784388,29.0,61.0,28.0,61.0,28.0,62.0,29.0,62.0,29.0,61.0
55,553.0011361815369,0.0,0.0,-85.3469971955328,31.0,61.0,30.0,61.0,30.0,62.0,31.0,62.0,31.0,61.0
59,0.11431699707091522,-100.0,-100.0,-100.0,36.0,61.0,35.0,61.0,35.0,62.0,36.0,62.0,36.0,61.0
69,11.601792907689735,110.56942754125852,110.56942754125852,110.56942754125852,47.0,61.0,46.0,61.0,46.0,62.0,47.0,62.0,47.0,61.0
80,177.72839303486802,-34.961940965307804,-5.12101701388662e-05,-34.96187982835217,5.0,60.0,4.0,60.0,4.0,61.0,5.0,61.0,5.0,60.0
81,2186.3963186501705,-18.021687155505106,-0.6885371566815713,-42.653749867963214,6.0,60.0,5.0,60.0,5.0,61.0,6.0,61.0,6.0,60.0
82,32438.123120413333,-0.5423472889088011,0.045720842295896715,-2.724470265044095,11.0,60.0,10.0,60.0,10.0,61.0,11.0,61.0,11.0,60.0
83,134102.58012577443,-1.2636553025299244,0.07814097212152588,-2.8502148290840608,12.0,60.0,11.0,60.0,11.0,61.0,12.0,61.0,12.0,60.0
84,20976.69299290627,-0.7276637915389067,-0.0749894437579541,-1.1343699892517023,13.0,60.0,12.0,60.0,12.0,61.0,13.0,61.0,13.0,60.0
88,25.076316600877327,-0.000539093621730955,1.7355281031484314e-05,-0.2426489685841644,17.0,60.0,16.0,60.0,16.0,61.0,17.0,61.0,17.0,60.0
89,18851.48835544175,-0.672058302701414,-0.5671761066663709,-3.0811614462079366,18.0,60.0,17.0,60.0,17.0,61.0,18.0,61.0,18.0,60.0
