UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.0,0.0021807289999999997,0.001248395,0.03010696,125575.4844,152706.2188,123749.7969,173010.3594,65.5,25.5
479.2079305,491.68619810000007,491.62390830000004,649.9496816000001,69314.98438,78508.97656,61138.57031,91201.96875,64.5,24.5
0.0,0.002589447,0.0024693189999999998,0.0028117359999999996,45897.63281,50656.94141,39685.875,58809.265629999994,64.5,27.5
0.001042349,0.001047893,0.001042349,0.0037644090000000002,17736.88281,19138.82813,14904.9375,22516.63281,64.5,28.5
1390.588201,1568.317444,1485.8123269999999,2145.287297,0.0,150292.0313,0.0,171320.5625,63.5,21.5
2.116637051,17.75448446,16.78455507,29.4401527,35336.11719,38648.69141,30193.992189999997,44723.44531,63.5,29.5
0.0,0.111911043,0.11069466300000001,0.147565434,42181.32813,44750.71094,34696.625,52448.03125,63.5,30.5
0.056569633,0.056569633,0.056569633,0.056569633,8034.03418,4763.157227000001,6644.104492,5133.083008,63.5,42.5
0.0,0.0,0.0,0.00969548,150885.9688,209163.9219,164450.6094,246210.4688,62.5,17.5
0.17267978,2.031648686,2.02867329,2.7111861989999997,92344.59375,98623.14063,76134.57813,115171.5156,62.5,24.5
0.074155631,0.640313661,0.621078521,1.093819514,203818.4375,233683.5781,189478.1563,264774.125,62.5,25.5
0.004280164,0.07250886299999999,0.062047024000000006,0.37469912899999996,55669.171879999994,58525.20703,45831.60156,67838.53906,62.5,26.5
0.0,0.002643382,0.002442976,0.07809837,84373.32813,92705.54688,73754.71875,106369.3125,62.5,27.5
0.0006897030000000001,0.002161932,0.00168699,0.035132206,70024.61719,73018.78125,57793.18359,83975.98438,62.5,28.5
0.0,14.11254403,12.59030486,25.595685600000003,89609.21875,80744.35938,75213.40625,92493.94531,62.5,30.5
0.0,0.009534645999999999,0.009534645999999999,0.009534645999999999,14286.55664,8685.953125,11878.72852,9579.383789,62.5,31.5
0.0,0.0,0.0,0.0,9719.237305,5685.765625,8053.256836,6189.910645,62.5,32.5
0.0,0.0,0.0,0.0,27198.867189999997,15988.9502,22233.87695,17426.52734,62.5,33.5
1.351191051,0.0,0.0,0.0,6466.367188,16421.83594,18050.30078,16762.18555,62.5,35.5
0.0,0.0,0.0,0.0,10079.7832,5788.487793,8452.966797,6450.946289,62.5,36.5
0.0,0.0,0.0,0.0,11061.09961,6561.325195,9234.181641,7189.789062999999,62.5,38.5
0.0,0.0,0.0,0.0,12117.27246,7198.333008,10098.21094,7901.647461,62.5,39.5
0.0,0.0,0.0,0.0,20200.16406,12380.25879,17234.68555,13601.322269999999,62.5,40.5
0.0,0.0,0.0,0.0,14950.56445,8989.145508,12579.25,9895.867188,62.5,41.5
1.11531521,1.11531521,1.11531521,1.11531521,8485.282227,5020.250977000001,7138.38916,5577.362793,62.5,42.5
1.376412977,1.376412977,1.376412977,1.376412977,9262.027344,5555.651855,7665.001465,6048.204102000001,62.5,43.5
0.0,0.0,0.0,0.0,6257.0,3873.022705,4900.584961,4032.164795,62.5,44.5
0.0,0.0,0.0,0.0,5863.328125,3613.726807,4644.506836,3805.7312009999996,62.5,45.5
0.0,0.0,0.0,0.0,279967.75,295345.5625,275415.8438,309860.6875,62.5,50.5
0.0,0.0,0.0,0.0,12345.68457,15194.24707,12959.85254,18397.78516,61.5,4.5
0.0,0.004289596,0.00915039,3.7040483,52745.11719,64002.99609,55096.83594,77451.96094,61.5,5.5
0.0,0.0,0.0,0.0,55299.89844,73914.03125,57054.375,88033.32031,61.5,15.5
0.001665234,0.0016905820000000002,0.001665234,0.046886215,83001.23438,111324.0313,86041.5625,132471.8594,61.5,16.5
0.217505828,0.230495545,0.223763005,0.38861328799999995,0.0,152624.0938,0.0,178355.8438,61.5,17.5
1350.615576,1799.5129309999998,1777.164341,2469.587078,0.0,0.0,0.0,301505.0,61.5,25.5
30.19937064,39.84590053,37.84998686,258.49683480000004,125183.1563,139282.6563,110531.625,160027.3125,61.5,26.5
0.0,0.007995386,0.007750153,0.085215835,89269.875,95495.32813,74942.48438,110804.8516,61.5,27.5
