UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5,lat,lng
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,57.2091903686524,0.0,0.0,0.0,62.5,55.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,382.325988769531,0.0,0.0,0.0,62.5,56.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,285.05126953125,0.0,0.0,0.0,62.5,57.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1346.12390136719,0.0,0.0,0.0,62.5,58.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,797.4667358398441,0.0,0.0,0.0,62.5,59.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,81.8502578735352,0.0,0.0,0.0,61.5,36.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4849.77392578125,0.0,0.0,0.0,61.5,37.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1008.7700805664099,0.0,0.0,0.0,61.5,52.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,795.240234375,0.0,0.0,0.0,61.5,53.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2485.95751953125,0.0,0.0,0.0,61.5,54.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4662.134765625,0.0,0.0,0.0,61.5,55.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7109.63232421875,0.0,0.0,0.0,61.5,56.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8726.4462890625,0.0,0.0,0.0,61.5,57.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9515.490234375,0.0,0.0,0.0,61.5,58.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5309.2548828125,0.0,0.0,0.0,61.5,59.5
114366.1875,119301.4375,121097.1015625,120417.828125,0.922539237534333,0.9232133768666829,0.9179803574425041,0.918440432570841,14052.6650390625,8378.8544921875,11725.3740234375,9200.080078125,60.5,34.5
79378.9375,92138.8046875,86831.4296875,85177.8828125,0.967980779538081,0.964673666774499,0.96497465476673,0.9656416488536022,10800.552734375,6474.681640625,9086.2236328125,7197.25390625,60.5,35.5
24809.8984375,27129.41015625,26911.6953125,26575.857421875,0.991484976443302,0.9909551055567629,0.9907636171863459,0.9908788803566941,17020.78125,10167.7314453125,14271.216796875,11080.2958984375,60.5,36.5
2092.19116210937,2508.28295898437,2302.86987304687,2160.94702148437,0.999168932282965,0.9990285007924069,0.9990852457257808,0.999141620832597,14423.9384765625,8624.1025390625,12022.123046875,9384.376953125,60.5,37.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,498.283447265625,0.0,0.0,0.0,60.5,38.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.2301235198974596,0.0,0.0,0.0,60.5,47.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,648.9656982421869,0.0,0.0,0.0,60.5,50.5
7.395208358764651,7.643807888031009,7.7641339302063,7.8532419204711905,0.9999834924677099,0.9999836160161529,0.9999826689546341,0.999982470048403,1376.94641113281,864.85791015625,1181.5,984.4287109375,60.5,51.5
3258.76953125,3408.73657226562,3455.16259765625,3488.87353515625,0.9987635650729859,0.9987763276772199,0.998689050062213,0.9986762595349449,17449.96875,10914.9326171875,14390.0576171875,11286.5419921875,60.5,52.5
29471.92578125,31412.375,31713.86328125,32115.5859375,0.9915859436252951,0.9916256243983291,0.9909458840427092,0.990831194656553,23797.265625,14767.1376953125,19640.849609375,15304.716796875,60.5,53.5
18539.814453125,19397.71875,19513.5546875,19801.671875,0.9950180257229579,0.9950482852160659,0.994756364592937,0.9946789424363929,25480.087890625,15961.927734375,20961.8046875,16344.478515625,60.5,54.5
28070.59375,31133.712890625,31402.052734375,31877.314453125,0.992590565682639,0.992490380483872,0.9917112032172221,0.991585754481795,18427.28125,11228.3623046875,15450.1875,12032.671875,60.5,55.5
99224.765625,107319.96875,107879.765625,109085.0234375,0.9745020819494359,0.974309009833114,0.9722779952575942,0.971968278578101,12613.4453125,7555.04541015625,10696.806640625,8449.2109375,60.5,56.5
159199.84375,169298.6875,171265.09375,173261.3125,0.9600197405863761,0.959999331938773,0.9569897638381091,0.9564884483745291,15738.46484375,9592.654296875,13496.3779296875,10694.16796875,60.5,57.5
236896.5,241252.9375,250966.484375,250710.84375,0.942220866136403,0.942581798520854,0.938789192343578,0.9388515431756629,19980.978515625,12038.8388671875,16789.41015625,13291.1865234375,60.5,58.5
291296.09375,297750.96875,310316.75,309851.21875,0.8927659606875029,0.893655886658795,0.885763938196215,0.8859353129500641,18087.3046875,10929.857421875,15171.9296875,11959.0791015625,60.5,59.5
564.556396484375,915.078735351563,926.171264648437,932.25,0.993175202784537,0.989117953930968,0.9888037207489342,0.9887302362638419,6.20277976989746,4.13518619537354,6.20277976989746,4.13518619537354,60.5,83.5
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.5709352493286,0.0,0.0,0.0,60.5,84.5
21183.005859375,21709.97265625,22211.45703125,21961.55859375,0.9332610613722859,0.93266358121797,0.9300208347445351,0.930808161934745,102.028198242188,68.018798828125,100.435913085938,68.018798828125,60.5,89.5
