fid,lat,lng
0,89.50,-179.50
1,89.50,-178.50
2,89.50,-177.50
3,89.50,-176.50
4,89.50,-175.50
5,89.50,-174.50
6,89.50,-173.50
7,89.50,-172.50
8,89.50,-171.50
9,89.50,-170.50
10,89.50,-169.50
11,89.50,-168.50
12,89.50,-167.50
13,89.50,-166.50
14,89.50,-165.50
15,89.50,-164.50
16,89.50,-163.50
17,89.50,-162.50
18,89.50,-161.50
19,89.50,-160.50
20,89.50,-159.50
21,89.50,-158.50
22,89.50,-157.50
23,89.50,-156.50
24,89.50,-155.50
25,89.50,-154.50
26,89.50,-153.50
27,89.50,-152.50
28,89.50,-151.50
29,89.50,-150.50
30,89.50,-149.50
31,89.50,-148.50
32,89.50,-147.50
33,89.50,-146.50
34,89.50,-145.50
35,89.50,-144.50
36,89.50,-143.50
37,89.50,-142.50
38,89.50,-141.50
39,89.50,-140.50
40,89.50,-139.50
41,89.50,-138.50
42,89.50,-137.50
43,89.50,-136.50
44,89.50,-135.50
45,89.50,-134.50
46,89.50,-133.50
47,89.50,-132.50
48,89.50,-131.50
49,89.50,-130.50
50,89.50,-129.50
51,89.50,-128.50
52,89.50,-127.50
53,89.50,-126.50
54,89.50,-125.50
55,89.50,-124.50
56,89.50,-123.50
57,89.50,-122.50
58,89.50,-121.50
59,89.50,-120.50
60,89.50,-119.50
61,89.50,-118.50
62,89.50,-117.50
63,89.50,-116.50
64,89.50,-115.50
65,89.50,-114.50
66,89.50,-113.50
67,89.50,-112.50
68,89.50,-111.50
69,89.50,-110.50
70,89.50,-109.50
71,89.50,-108.50
72,89.50,-107.50
73,89.50,-106.50
74,89.50,-105.50
75,89.50,-104.50
76,89.50,-103.50
77,89.50,-102.50
78,89.50,-101.50
79,89.50,-100.50
80,89.50,-99.50
81,89.50,-98.50
82,89.50,-97.50
83,89.50,-96.50
84,89.50,-95.50
85,89.50,-94.50
86,89.50,-93.50
87,89.50,-92.50
88,89.50,-91.50
89,89.50,-90.50
90,89.50,-89.50
91,89.50,-88.50
92,89.50,-87.50
93,89.50,-86.50
94,89.50,-85.50
95,89.50,-84.50
96,89.50,-83.50
97,89.50,-82.50
98,89.50,-81.50
99,89.50,-80.50
100,89.50,-79.50
101,89.50,-78.50
102,89.50,-77.50
103,89.50,-76.50
104,89.50,-75.50
105,89.50,-74.50
106,89.50,-73.50
107,89.50,-72.50
108,89.50,-71.50
109,89.50,-70.50
110,89.50,-69.50
111,89.50,-68.50
112,89.50,-67.50
113,89.50,-66.50
114,89.50,-65.50
115,89.50,-64.50
116,89.50,-63.50
117,89.50,-62.50
118,89.50,-61.50
119,89.50,-60.50
120,89.50,-59.50
121,89.50,-58.50
122,89.50,-57.50
123,89.50,-56.50
124,89.50,-55.50
125,89.50,-54.50
126,89.50,-53.50
127,89.50,-52.50
128,89.50,-51.50
129,89.50,-50.50
130,89.50,-49.50
131,89.50,-48.50
132,89.50,-47.50
133,89.50,-46.50
134,89.50,-45.50
135,89.50,-44.50
136,89.50,-43.50
137,89.50,-42.50
138,89.50,-41.50
139,89.50,-40.50
140,89.50,-39.50
141,89.50,-38.50
142,89.50,-37.50
143,89.50,-36.50
144,89.50,-35.50
145,89.50,-34.50
146,89.50,-33.50
147,89.50,-32.50
148,89.50,-31.50
149,89.50,-30.50
150,89.50,-29.50
151,89.50,-28.50
152,89.50,-27.50
153,89.50,-26.50
154,89.50,-25.50
155,89.50,-24.50
156,89.50,-23.50
157,89.50,-22.50
158,89.50,-21.50
159,89.50,-20.50
160,89.50,-19.50
161,89.50,-18.50
162,89.50,-17.50
163,89.50,-16.50
164,89.50,-15.50
165,89.50,-14.50
166,89.50,-13.50
167,89.50,-12.50
168,89.50,-11.50
169,89.50,-10.50
170,89.50,-9.50
171,89.50,-8.50
172,89.50,-7.50
173,89.50,-6.50
174,89.50,-5.50
175,89.50,-4.50
176,89.50,-3.50
177,89.50,-2.50
178,89.50,-1.50
179,89.50,-0.50
180,89.50,0.50
181,89.50,1.50
182,89.50,2.50
183,89.50,3.50
184,89.50,4.50
185,89.50,5.50
186,89.50,6.50
187,89.50,7.50
188,89.50,8.50
189,89.50,9.50
190,89.50,10.50
191,89.50,11.50
192,89.50,12.50
193,89.50,13.50
194,89.50,14.50
195,89.50,15.50
196,89.50,16.50
197,89.50,17.50
198,89.50,18.50
199,89.50,19.50
200,89.50,20.50
201,89.50,21.50
202,89.50,22.50
203,89.50,23.50
204,89.50,24.50
205,89.50,25.50
206,89.50,26.50
207,89.50,27.50
208,89.50,28.50
209,89.50,29.50
210,89.50,30.50
211,89.50,31.50
212,89.50,32.50
213,89.50,33.50
214,89.50,34.50
215,89.50,35.50
216,89.50,36.50
217,89.50,37.50
218,89.50,38.50
219,89.50,39.50
220,89.50,40.50
221,89.50,41.50
222,89.50,42.50
223,89.50,43.50
224,89.50,44.50
225,89.50,45.50
226,89.50,46.50
227,89.50,47.50
228,89.50,48.50
229,89.50,49.50
230,89.50,50.50
231,89.50,51.50
232,89.50,52.50
233,89.50,53.50
234,89.50,54.50
