fid,UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5
8845,0,0.002180729,0.001248395,0.03010696,125575.4844,152706.2188,123749.7969,173010.3594
9204,479.2079305,491.6861981,491.6239083,649.9496816,69314.98438,78508.97656,61138.57031,91201.96875
9205,23750.55267,24415.33055,24589.66524,25675.64555,0,0,0,0
9206,630.5291734,1248.400221,1264.336585,1646.128832,0,0,0,0
9207,0,0.002589447,0.002469319,0.002811736,45897.63281,50656.94141,39685.875,58809.26563
9208,0.001042349,0.001047893,0.001042349,0.003764409,17736.88281,19138.82813,14904.9375,22516.63281
9561,1390.588201,1568.317444,1485.812327,2145.287297,0,150292.0313,0,171320.5625
9562,20726.51346,23714.92449,23681.77431,27553.45079,0,0,0,0
9563,10276.93476,12735.12376,12838.18741,15946.60243,0,0,0,0
9564,9584.24129,10458.32484,10425.43912,11754.68729,0,0,0,0
9565,9160.373453,9728.202577,9648.363169,11924.30156,0,0,0,0
9566,124.4037151,1094.300048,1064.903689,1826.988769,0,0,0,0
9567,25.49023515,118.4678386,107.0819454,368.0904989,0,0,0,0
9568,0.205787041,1.847491122,1.856226395,3.16107197,0,0,0,0
9569,2.116637051,17.75448446,16.78455507,29.4401527,35336.11719,38648.69141,30193.99219,44723.44531
9570,0,0.111911043,0.110694663,0.147565434,42181.32813,44750.71094,34696.625,52448.03125
9582,0.056569633,0.056569633,0.056569633,0.056569633,8034.03418,4763.157227,6644.104492,5133.083008
9917,0,0,0,0.00969548,150885.9688,209163.9219,164450.6094,246210.4688
9921,14419.86746,14778.60305,14934.31222,17568.47898,0,0,0,0
9922,44336.21356,49314.83033,49882.27949,57975.54629,0,0,0,0
9923,4451.615539,5304.045219,5163.635514,7463.238973,0,0,0,0
9924,0.17267978,2.031648686,2.02867329,2.711186199,92344.59375,98623.14063,76134.57813,115171.5156
9925,0.074155631,0.640313661,0.621078521,1.093819514,203818.4375,233683.5781,189478.1563,264774.125
9926,0.004280164,0.072508863,0.062047024,0.374699129,55669.17188,58525.20703,45831.60156,67838.53906
9927,0,0.002643382,0.002442976,0.07809837,84373.32813,92705.54688,73754.71875,106369.3125
9928,0.000689703,0.002161932,0.00168699,0.035132206,70024.61719,73018.78125,57793.18359,83975.98438
9929,246.2150801,512.948774,493.8258653,910.4275502,0,0,0,0
9930,0,14.11254403,12.59030486,25.5956856,89609.21875,80744.35938,75213.40625,92493.94531
9931,0,0.009534646,0.009534646,0.009534646,14286.55664,8685.953125,11878.72852,9579.383789
9932,0,0,0,0,9719.237305,5685.765625,8053.256836,6189.910645
9933,0,0,0,0,27198.86719,15988.9502,22233.87695,17426.52734
9935,1.351191051,0,0,0,6466.367188,16421.83594,18050.30078,16762.18555
9936,0,0,0,0,10079.7832,5788.487793,8452.966797,6450.946289
9938,0,0,0,0,11061.09961,6561.325195,9234.181641,7189.789063
9939,0,0,0,0,12117.27246,7198.333008,10098.21094,7901.647461
9940,0,0,0,0,20200.16406,12380.25879,17234.68555,13601.32227
9941,0,0,0,0,14950.56445,8989.145508,12579.25,9895.867188
9942,1.11531521,1.11531521,1.11531521,1.11531521,8485.282227,5020.250977,7138.38916,5577.362793
9943,1.376412977,1.376412977,1.376412977,1.376412977,9262.027344,5555.651855,7665.001465,6048.204102
9944,0,0,0,0,6257,3873.022705,4900.584961,4032.164795
9945,0,0,0,0,5863.328125,3613.726807,4644.506836,3805.731201
9950,0,0,0,0,279967.75,295345.5625,275415.8438,309860.6875
10264,0,0,0,0,12345.68457,15194.24707,12959.85254,18397.78516
10265,0,0.004289596,0.00915039,3.7040483,52745.11719,64002.99609,55096.83594,77451.96094
10275,0,0,0,0,55299.89844,73914.03125,57054.375,88033.32031
10276,0.001665234,0.001690582,0.001665234,0.046886215,83001.23438,111324.0313,86041.5625,132471.8594
10277,0.217505828,0.230495545,0.223763005,0.388613288,0,152624.0938,0,178355.8438
10281,23954.60993,22646.58118,23649.83837,24168.71313,0,0,0,0
10282,26063.4679,32455.01034,32387.70641,39488.48482,0,0,0,0
10283,8186.5401,10885.76079,10807.08002,14908.84086,0,0,0,0
10284,1959.284272,2179.167377,2206.896456,2750.197786,0,0,0,0
10285,1350.615576,1799.512931,1777.164341,2469.587078,0,0,0,301505
10286,30.19937064,39.84590053,37.84998686,258.4968348,125183.1563,139282.6563,110531.625,160027.3125
10287,0,0.007995386,0.007750153,0.085215835,89269.875,95495.32813,74942.48438,110804.8516
