fid,country,region,UN_c,UN_1,UN_3,UN_5,NC_c,NC_1,NC_3,NC_5,pop_c,pop_1,pop_3,pop_5
9925,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9926,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9927,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9928,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9929,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9930,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9931,Finland,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9932,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9933,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9934,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9935,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9936,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9937,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9938,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9939,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9940,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9941,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9942,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9943,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9944,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9945,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9946,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9947,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9948,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9949,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9950,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9951,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9952,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9953,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9954,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9955,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,57.2091903686524,,,
9956,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,382.325988769531,,,
9957,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,285.05126953125,,,
9958,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1346.12390136719,,,
9959,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,797.466735839844,,,
9960,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9961,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9962,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9963,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9964,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9965,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9966,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
9967,Russia,Eurasia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10129,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10130,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10131,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10132,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10133,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10134,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10135,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10136,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10137,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10138,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10139,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10140,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10141,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10142,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10143,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
10144,Canada,North America,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,,,
