,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
201,14052,-40.37859379447765,-16.559920296043266,-34.5288926843154,35.0,60.0,34.0,60.0,34.0,61.0,35.0,61.0,35.0,60.0
202,10800,-40.05555555555556,-15.87037037037037,-33.361111111111114,36.0,60.0,35.0,60.0,35.0,61.0,36.0,61.0,36.0,60.0
203,17020,-40.26439482961222,-16.151586368977675,-34.90011750881316,37.0,60.0,36.0,60.0,36.0,61.0,37.0,61.0,37.0,60.0
204,14423,-40.20661443527699,-16.647022117451293,-34.93725299868266,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
218,1376,-37.2093023255814,-14.171511627906977,-28.488372093023255,52.0,60.0,51.0,60.0,51.0,61.0,52.0,61.0,52.0,60.0
219,17449,-37.45200298011348,-17.531090606911572,-35.32007564903433,53.0,60.0,52.0,60.0,52.0,61.0,53.0,61.0,53.0,60.0
220,23797,-37.945959574736314,-17.468588477539186,-35.68937260999286,54.0,60.0,53.0,60.0,53.0,61.0,54.0,61.0,54.0,60.0
221,25480,-37.358712715855575,-17.735478806907377,-35.85557299843014,55.0,60.0,54.0,60.0,54.0,61.0,55.0,61.0,55.0,60.0
222,18427,-39.06767243718457,-16.15564117870516,-34.70450968687253,56.0,60.0,55.0,60.0,55.0,61.0,56.0,61.0,56.0,60.0
223,12613,-40.10148259732023,-15.198604614286847,-33.01355744073575,57.0,60.0,56.0,60.0,56.0,61.0,57.0,61.0,57.0,60.0
224,15738,-39.0519761087813,-14.245774558393697,-32.04981573262168,58.0,60.0,57.0,60.0,57.0,61.0,58.0,61.0,58.0,60.0
225,19980,-39.749749749749746,-15.97097097097097,-33.47847847847848,59.0,60.0,58.0,60.0,58.0,61.0,59.0,61.0,59.0,60.0
226,18087,-39.57538563609222,-16.122076629623486,-33.8806877868082,60.0,60.0,59.0,60.0,59.0,61.0,60.0,61.0,60.0,60.0
247,6,-33.333333333333336,0.0,-33.333333333333336,84.0,60.0,83.0,60.0,83.0,61.0,84.0,61.0,84.0,60.0
253,102,-33.333333333333336,-1.9607843137254901,-33.333333333333336,90.0,60.0,89.0,60.0,89.0,61.0,90.0,61.0,90.0,60.0
254,413,-32.92978208232446,-0.48426150121065376,-32.68765133171913,91.0,60.0,90.0,60.0,90.0,61.0,91.0,61.0,91.0,60.0
255,544,-33.455882352941174,0.0,-33.455882352941174,92.0,60.0,91.0,60.0,91.0,61.0,92.0,61.0,92.0,60.0
256,8,-37.5,0.0,-37.5,93.0,60.0,92.0,60.0,92.0,61.0,93.0,61.0,93.0,60.0
257,325,-33.23076923076923,0.0,-33.23076923076923,94.0,60.0,93.0,60.0,93.0,61.0,94.0,61.0,94.0,60.0
258,199,-33.66834170854271,-1.0050251256281406,-33.66834170854271,95.0,60.0,94.0,60.0,94.0,61.0,95.0,61.0,95.0,60.0
277,409,-50.122249388753055,-24.938875305623473,-29.82885085574572,114.0,60.0,113.0,60.0,113.0,61.0,114.0,61.0,114.0,60.0
278,296,-49.66216216216216,-24.324324324324323,-27.027027027027028,115.0,60.0,114.0,60.0,114.0,61.0,115.0,61.0,115.0,60.0
295,51,-37.254901960784316,0.0,-25.49019607843137,132.0,60.0,131.0,60.0,131.0,61.0,132.0,61.0,132.0,60.0
304,436,-4.81651376146789,-31.65137614678899,18.119266055045873,-136.0,59.0,-137.0,59.0,-137.0,60.0,-136.0,60.0,-136.0,59.0
305,1749,-12.292738707833047,-35.22012578616352,8.690680388793597,-135.0,59.0,-136.0,59.0,-136.0,60.0,-135.0,60.0,-135.0,59.0
306,1,-100.0,-100.0,0.0,-134.0,59.0,-135.0,59.0,-135.0,60.0,-134.0,60.0,-134.0,59.0
