,geometry,Rt_ssp5
0,POINT Z (-68.72935891380267 -56.45903949785817 0),4.135185542000137
1,POINT Z (-68.71279327595431 -56.50392370616238 0),4.135185542000137
2,POINT Z (-68.71265737527374 -56.5218918702662 0),4.135185542000137
3,POINT Z (-68.6964039779966 -56.52185322621331 0),4.135185542000137
4,POINT Z (-27.56246473776706 -56.27493827346451 0),3.6840314986403864
5,POINT Z (-27.57874833615175 -56.28384794189366 0),3.6840314986403864
6,POINT Z (-27.5625966246447 -56.28392237571942 0),3.6840314986403864
7,POINT Z (-27.54644483746468 -56.28399470297138 0),3.6840314986403864
8,POINT Z (-27.59503950837073 -56.292755439454 0),3.6840314986403864
9,POINT Z (-27.57888408673618 -56.29283200568292 0),3.6840314986403864
10,POINT Z (-27.54657301192183 -56.29297881632784 0),3.54953665975557
11,POINT Z (-27.53041736308924 -56.29304906070178 0),3.6840314986403864
12,POINT Z (-27.59517912700734 -56.30173946404391 0),3.6840314986403864
13,POINT Z (-27.54670125993805 -56.30196291637089 0),3.54953665975557
14,POINT Z (-27.59531882578696 -56.31072347528665 0),3.6840314986403864
15,POINT Z (-27.57915582168543 -56.31080009325322 0),3.6840314986403864
16,POINT Z (-27.56299273955458 -56.3108746025322 0),3.6840314986403864
17,POINT Z (-27.54682958157141 -56.3109470031022 0),3.54953665975557
18,POINT Z (-27.56312492948276 -56.31985865149102 0),3.6840314986403864
19,POINT Z (-27.16044419721419 -56.68040352567466 0),3.54953665975557
20,POINT Z (-27.17680803547813 -56.68936533648812 0),3.54953665975557
21,POINT Z (-27.1604824007767 -56.68938743539699 0),3.54953665975557
22,POINT Z (-27.14415674393812 -56.68940739503821 0),3.54953665975557
23,POINT Z (-27.19317964866299 -56.6983249792338 0),3.54953665975557
24,POINT Z (-27.17685014977396 -56.6983492256398 0),3.54953665975557
25,POINT Z (-27.14419108102393 -56.69839129848099 0),3.4199518933533937
26,POINT Z (-27.12786151567038 -56.6984091249039 0),3.4199518933533937
27,POINT Z (-27.19322567819776 -56.70730884708218 0),3.54953665975557
28,POINT Z (-27.12789198177379 -56.70739302134808 0),3.4199518933533937
29,POINT Z (-27.11155850787529 -56.70740871309622 0),3.54953665975557
30,POINT Z (-27.09522501857089 -56.70742226410695 0),3.54953665975557
31,POINT Z (-27.20960899051648 -56.71626629753961 0),3.54953665975557
32,POINT Z (-27.19327173441611 -56.71629270186501 0),3.54953665975557
33,POINT Z (-27.12792246553866 -56.71637690474028 0),3.4199518933533937
34,POINT Z (-27.11158509848697 -56.7163926018218 0),3.54953665975557
35,POINT Z (-27.09524771601708 -56.71640615743831 0),3.54953665975557
36,POINT Z (-27.19331781733936 -56.72527654358399 0),3.54953665975557
37,POINT Z (-27.1769766391909 -56.72530081472117 0),3.54953665975557
38,POINT Z (-27.16063543657529 -56.72532294368749 0),3.54953665975557
39,POINT Z (-27.14429421175164 -56.72534293047645 0),3.54953665975557
40,POINT Z (-27.12795296697911 -56.72536077508227 0),3.54953665975557
41,POINT Z (-26.71876279177542 -57.06074256364994 0),3.3833625914958207
42,POINT Z (-26.70227465707819 -57.06070447226679 0),3.3833625914958207
43,POINT Z (-26.68578656441698 -57.06066421133337 0),3.3833625914958207
44,POINT Z (-26.66929851611956 -57.06062178086169 0),3.3833625914958207
45,POINT Z (-26.70220273124503 -57.06968774521884 0),3.3833625914958207
46,POINT Z (-26.66921862409766 -57.06960502555538 0),3.2598444275495893
47,POINT Z (-26.70213076334186 -57.07867100514474 0),3.3833625914958207
48,POINT Z (-26.68563470212639 -57.07863071668768 0),3.3833625914958207
49,POINT Z (-26.66913868534649 -57.07858825720928 0),3.2598444275495893
50,POINT Z (-26.6855587043457 -57.08761394981746 0),3.3833625914958207
51,POINT Z (-26.66905869982827 -57.08757147582517 0),3.3833625914958207
52,POINT Z (-26.65255874211574 -57.087526830082 0),3.3833625914958207
53,POINT Z (-26.78450748254423 -57.09680647797619 0),3.54953665975557
54,POINT Z (-26.7680032559411 -57.09677702466521 0),3.54953665975557
55,POINT Z (-26.7844553509119 -57.10578975661746 0),3.54953665975557
